Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	per_tile_sequence_quality
P01-01-A-n01_fun_fwd-R2	P01-01-A-n01_fun_fwd-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1.0	0.0	251.0	51.0	100.0	251.0	pass	pass	pass	fail	pass	pass	pass	pass	fail	pass	
P01-01-A-n02_fun_fwd-R2	P01-01-A-n02_fun_fwd-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3.0	0.0	251.0	53.0	100.0	251.0	pass	pass	pass	fail	fail	pass	pass	pass	fail	pass	
P01-01-A-n03_fun_fwd-R2	P01-01-A-n03_fun_fwd-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	412.0	0.0	251.0	53.0	79.36893203883496	251.0	pass	pass	pass	fail	warn	pass	pass	pass	fail	pass	pass
P01-01-A-n04_fun_fwd-R2	P01-01-A-n04_fun_fwd-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3824.0	0.0	251.0	53.0	69.168410041841	251.0	pass	pass	pass	fail	warn	pass	pass	warn	warn	pass	pass
P01-01-A-n04_gi_fwd-R2	P01-01-A-n04_gi_fwd-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3.0	0.0	251.0	42.0	100.0	251.0	pass	pass	pass	fail	fail	pass	pass	pass	fail	pass	
P01-01-A-n05_fun_fwd-R2	P01-01-A-n05_fun_fwd-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2456.0	0.0	251.0	53.0	83.46905537459284	251.0	pass	pass	pass	fail	warn	pass	pass	pass	fail	pass	pass
P01-01-A-n05_gi_fwd-R2	P01-01-A-n05_gi_fwd-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	38.0	0.0	251.0	42.0	100.0	251.0	pass	pass	pass	fail	fail	pass	pass	pass	fail	warn	warn
P01-01-A-n06_fun_fwd-R2	P01-01-A-n06_fun_fwd-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2369.0	0.0	251.0	52.0	97.80498100464331	251.0	pass	pass	pass	fail	warn	pass	pass	pass	warn	pass	pass
P01-01-A-n06_gi_fwd-R2	P01-01-A-n06_gi_fwd-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	978.0	0.0	251.0	42.0	93.35378323108384	251.0	pass	pass	pass	fail	fail	pass	pass	pass	warn	pass	pass
P01-01-A-n07_fun_fwd-R2	P01-01-A-n07_fun_fwd-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1.0	0.0	251.0	52.0	100.0	251.0	pass	pass	pass	fail	pass	pass	pass	pass	fail	pass	
P01-01-A-n07_gi_fwd-R2	P01-01-A-n07_gi_fwd-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	963.0	0.0	251.0	42.0	92.62720664589823	251.0	pass	pass	pass	fail	fail	pass	pass	pass	warn	pass	pass
P01-01-A-n08_fun_fwd-R2	P01-01-A-n08_fun_fwd-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1.0	0.0	251.0	53.0	100.0	251.0	pass	pass	pass	fail	pass	pass	pass	pass	fail	pass	
