Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
P01-01-A-n01_fun_fwd-R2	0.0	51.0	251.0	20.0	1.0
P01-01-A-n02_fun_fwd-R2	0.0	53.0	251.0	30.0	3.0
P01-01-A-n03_fun_fwd-R2	20.631067961165044	53.0	251.0	18.181818181818183	412.0
P01-01-A-n04_fun_fwd-R2	30.831589958159	53.0	251.0	9.090909090909092	3824.0
P01-01-A-n04_gi_fwd-R2	0.0	42.0	251.0	30.0	3.0
P01-01-A-n05_fun_fwd-R2	16.53094462540716	53.0	251.0	18.181818181818183	2456.0
P01-01-A-n05_gi_fwd-R2	0.0	42.0	251.0	27.27272727272727	38.0
P01-01-A-n06_fun_fwd-R2	2.1950189953566905	52.0	251.0	9.090909090909092	2369.0
P01-01-A-n06_gi_fwd-R2	6.646216768916162	42.0	251.0	18.181818181818183	978.0
P01-01-A-n07_fun_fwd-R2	0.0	52.0	251.0	20.0	1.0
P01-01-A-n07_gi_fwd-R2	7.372793354101773	42.0	251.0	18.181818181818183	963.0
P01-01-A-n08_fun_fwd-R2	0.0	53.0	251.0	20.0	1.0
P01-01-A-n08_gi_fwd-R2	2.6839826839826912	42.0	251.0	18.181818181818183	1155.0
P01-01-A-n09_gi_fwd-R2	0.0	42.0	251.0	18.181818181818183	464.0
P01-01-A-n10_gi_fwd-R2	0.0	42.0	251.0	30.0	3.0
P01-01-B-n02_fun_fwd-R2	0.0	53.0	251.0	30.0	3.0
P01-01-B-n03_fun_fwd-R2	6.504065040650403	53.0	251.0	18.181818181818183	123.0
P01-01-B-n04_fun_fwd-R2	23.64376130198916	53.0	251.0	18.181818181818183	2212.0
P01-01-B-n05_fun_fwd-R2	10.427350427350419	52.0	251.0	27.27272727272727	585.0
P01-01-B-n05_gi_fwd-R2	0.0	42.0	251.0	18.181818181818183	30.0
P01-01-B-n06_fun_fwd-R2	3.7959667852906307	52.0	251.0	9.090909090909092	4215.0
P01-01-B-n06_gi_fwd-R2	5.13950073421438	42.0	251.0	18.181818181818183	681.0
P01-01-B-n07_fun_fwd-R2	0.0	52.0	251.0	30.0	3.0
P01-01-B-n07_gi_fwd-R2	7.0362473347547905	42.0	251.0	18.181818181818183	938.0
P01-01-B-n08_gi_fwd-R2	0.0	42.0	251.0	27.27272727272727	120.0
P01-01-B-n09_gi_fwd-R2	0.7575757575757507	42.0	251.0	18.181818181818183	660.0
P01-01-B-n10_gi_fwd-R2	0.0	43.0	251.0	30.0	4.0
P01-01-C-n01_fun_fwd-R2	0.0	52.0	251.0	30.0	2.0
P01-01-C-n02_fun_fwd-R2	0.0	53.0	251.0	20.0	6.0
P01-01-C-n03_fun_fwd-R2	42.04651162790698	53.0	251.0	18.181818181818183	2150.0
P01-01-C-n04_fun_fwd-R2	30.23006955591225	53.0	251.0	9.090909090909092	3738.0
P01-01-C-n04_gi_fwd-R2	0.0	42.0	251.0	30.0	2.0
P01-01-C-n05_fun_fwd-R2	16.553846153846152	53.0	251.0	18.181818181818183	3250.0
P01-01-C-n05_gi_fwd-R2	2.7777777777777857	42.0	251.0	27.27272727272727	36.0
P01-01-C-n06_fun_fwd-R2	0.5617977528089853	52.0	251.0	18.181818181818183	356.0
P01-01-C-n06_gi_fwd-R2	10.219922380336357	42.0	251.0	18.181818181818183	773.0
P01-01-C-n07_fun_fwd-R2	0.0	52.0	251.0	30.0	2.0
P01-01-C-n07_gi_fwd-R2	1.2711864406779654	42.0	251.0	18.181818181818183	236.0
P01-01-C-n08_gi_fwd-R2	3.0434782608695627	42.0	251.0	18.181818181818183	920.0
P01-01-C-n09_gi_fwd-R2	0.8403361344537785	42.0	251.0	9.090909090909092	357.0
P01-01-C-n10_gi_fwd-R2	0.0	42.0	251.0	20.0	1.0
P01-01-D-n01_fun_fwd-R2	0.0	53.0	251.0	20.0	1.0
P01-01-D-n02_fun_fwd-R2	0.0	53.0	251.0	30.0	7.0
P01-01-D-n03_fun_fwd-R2	38.67557039510295	53.0	251.0	18.181818181818183	1797.0
P01-01-D-n04_fun_fwd-R2	41.4347043345797	53.0	251.0	9.090909090909092	7221.0
P01-01-D-n04_gi_fwd-R2	0.0	42.0	251.0	30.0	2.0
P01-01-D-n05_fun_fwd-R2	18.641618497109818	53.0	251.0	18.181818181818183	2768.0
P01-01-D-n05_gi_fwd-R2	0.0	42.0	251.0	18.181818181818183	26.0
P01-01-D-n06_fun_fwd-R2	0.0	52.0	251.0	18.181818181818183	199.0
P01-01-D-n06_gi_fwd-R2	7.423580786026193	42.0	251.0	9.090909090909092	687.0
P01-01-D-n07_gi_fwd-R2	5.158730158730165	42.0	251.0	18.181818181818183	504.0
P01-01-D-n08_gi_fwd-R2	1.639344262295083	42.0	251.0	27.27272727272727	732.0
P01-01-D-n09_gi_fwd-R2	0.0	42.0	251.0	27.27272727272727	83.0
P01-01-D-n10_gi_fwd-R2	0.0	43.0	251.0	20.0	1.0
P01-01-E-n01_fun_fwd-R2	0.0	52.0	251.0	20.0	1.0
P01-01-E-n02_fun_fwd-R2	0.0	53.0	251.0	18.181818181818183	10.0
P01-01-E-n03_fun_fwd-R2	46.916608269096	53.0	251.0	18.181818181818183	2854.0
P01-01-E-n04_fun_fwd-R2	36.18733991950238	53.0	251.0	9.090909090909092	5466.0
P01-01-E-n04_gi_fwd-R2	0.0	42.0	251.0	30.0	2.0
P01-01-E-n05_fun_fwd-R2	21.044374719856563	53.0	251.0	18.181818181818183	4462.0
P01-01-E-n05_gi_fwd-R2	0.0	42.0	251.0	18.181818181818183	14.0
P01-01-E-n06_fun_fwd-R2	0.5235602094240761	52.0	251.0	18.181818181818183	382.0
P01-01-E-n06_gi_fwd-R2	3.3112582781456865	42.0	251.0	18.181818181818183	302.0
P01-01-E-n07_gi_fwd-R2	5.0151975683890555	42.0	251.0	18.181818181818183	658.0
P01-01-E-n08_gi_fwd-R2	1.415929203539818	42.0	251.0	18.181818181818183	565.0
P01-01-E-n09_gi_fwd-R2	0.8793969849246253	42.0	251.0	18.181818181818183	796.0
P01-01-E-n10_gi_fwd-R2	0.0	43.0	251.0	30.0	3.0
P01-01-F-n01_fun_fwd-R2	0.0	49.0	251.0	30.0	2.0
P01-01-F-n02_fun_fwd-R2	0.0	54.0	251.0	30.0	5.0
P01-01-F-n03_fun_fwd-R2	34.16435826408126	53.0	251.0	18.181818181818183	1083.0
P01-01-F-n04_fun_fwd-R2	52.10651523290615	53.0	251.0	18.181818181818183	13031.0
P01-01-F-n04_gi_fwd-R2	0.0	42.0	251.0	30.0	2.0
P01-01-F-n05_fun_fwd-R2	14.430244941427048	52.0	251.0	18.181818181818183	1878.0
P01-01-F-n05_gi_fwd-R2	0.0	42.0	251.0	18.181818181818183	25.0
P01-01-F-n06_fun_fwd-R2	3.0010718113612	52.0	251.0	18.181818181818183	2799.0
P01-01-F-n06_gi_fwd-R2	3.3530571992110367	42.0	251.0	18.181818181818183	507.0
P01-01-F-n07_fun_fwd-R2	0.0	52.0	251.0	30.0	3.0
P01-01-F-n07_gi_fwd-R2	7.5284090909090935	42.0	251.0	18.181818181818183	1408.0
P01-01-F-n08_gi_fwd-R2	2.255639097744364	42.0	251.0	18.181818181818183	1330.0
P01-01-F-n09_gi_fwd-R2	1.5999999999999943	42.0	251.0	18.181818181818183	750.0
P01-01-F-n10_gi_fwd-R2	0.0	43.0	251.0	30.0	2.0
P01-01-G-n02_fun_fwd-R2	0.0	52.0	251.0	30.0	3.0
P01-01-G-n03_fun_fwd-R2	28.905289052890524	53.0	251.0	27.27272727272727	813.0
P01-01-G-n04_fun_fwd-R2	7.623318385650222	53.0	251.0	27.27272727272727	446.0
