Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
P01-01-B-n05_fun_fwd-n06_fun_rev-rc-R2	64.28571428571428	53.0	224.0	27.27272727272727	14.0
P01-01-B-n05_gi_fwd-n06_gi_rev-rc-R2	78.26086956521739	41.0	227.0	36.36363636363637	23.0
P01-01-B-n05_gi_fwd-n07_gi_rev-rc-R2	66.66666666666667	42.0	226.0	30.0	6.0
P01-01-B-n06_fun_fwd-n04_fun_rev-rc-R2	0.0	53.0	226.0	20.0	1.0
P01-01-B-n06_fun_fwd-n05_fun_rev-rc-R2	64.0	53.0	225.0	27.27272727272727	50.0
P01-01-B-n06_fun_fwd-n06_fun_rev-rc-R2	92.04574332909785	53.0	224.0	27.27272727272727	3935.0
P01-01-B-n06_fun_fwd-n07_fun_rev-rc-R2	80.0	53.0	223.0	40.0	5.0
P01-01-B-n06_fun_fwd-n08_fun_rev-rc-R2	0.0	53.0	222.0	20.0	1.0
P01-01-B-n06_gi_fwd-n05_gi_rev-rc-R2	0.0	41.0	228.0	30.0	2.0
P01-01-B-n06_gi_fwd-n06_gi_rev-rc-R2	86.22754491017965	41.0	227.0	36.36363636363637	501.0
P01-01-B-n06_gi_fwd-n07_gi_rev-rc-R2	85.71428571428572	42.0	226.0	36.36363636363637	133.0
P01-01-B-n07_fun_fwd-n06_fun_rev-rc-R2	33.33333333333334	53.0	224.0	30.0	3.0
P01-01-B-n07_gi_fwd-n06_gi_rev-rc-R2	33.33333333333334	42.0	227.0	30.0	3.0
P01-01-B-n07_gi_fwd-n07_gi_rev-rc-R2	91.0360884749709	42.0	226.0	36.36363636363637	859.0
P01-01-B-n07_gi_fwd-n08_gi_rev-rc-R2	75.0	42.0	225.0	40.0	4.0
P01-01-B-n08_gi_fwd-n07_gi_rev-rc-R2	87.5	42.0	226.0	40.0	8.0
P01-01-B-n08_gi_fwd-n08_gi_rev-rc-R2	83.78378378378378	41.0	225.0	36.36363636363637	74.0
P01-01-B-n08_gi_fwd-n09_gi_rev-rc-R2	70.58823529411765	42.0	224.0	27.27272727272727	17.0
P01-01-B-n09_gi_fwd-n07_gi_rev-rc-R2	0.0	42.0	226.0	20.0	1.0
P01-01-B-n09_gi_fwd-n08_gi_rev-rc-R2	84.21052631578948	41.0	225.0	36.36363636363637	19.0
P01-01-B-n09_gi_fwd-n09_gi_rev-rc-R2	89.26174496644295	42.0	223.93456375838926	27.27272727272727	596.0
P01-01-B-n09_gi_fwd-n10_gi_rev-rc-R2	0.0	43.0	223.0	20.0	1.0
P01-01-B-n10_gi_fwd-n09_gi_rev-rc-R2	0.0	42.0	224.0	30.0	3.0
P01-01-C-n01_fun_fwd-n03_fun_rev-rc-R2	0.0	53.0	227.0	20.0	1.0
P01-01-C-n01_fun_fwd-n05_fun_rev-rc-R2	0.0	52.0	225.0	20.0	1.0
P01-01-C-n02_fun_fwd-n03_fun_rev-rc-R2	25.0	54.0	227.0	30.0	4.0
