Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
P01-01-B-n05_fun_fwd-n06_fun_rev-rc-R2	66.66666666666667	53.0	224.0	36.36363636363637	15.0
P01-01-B-n05_gi_fwd-n06_gi_rev-rc-R2	78.26086956521739	41.0	227.0	36.36363636363637	23.0
P01-01-B-n05_gi_fwd-n07_gi_rev-rc-R2	57.142857142857146	41.0	226.0	40.0	7.0
P01-01-B-n06_fun_fwd-n02_fun_rev-rc-R2	0.0	61.0	228.0	30.0	1.0
P01-01-B-n06_fun_fwd-n04_fun_rev-rc-R2	0.0	53.0	226.0	20.0	1.0
P01-01-B-n06_fun_fwd-n05_fun_rev-rc-R2	64.70588235294117	53.0	225.0	27.27272727272727	51.0
P01-01-B-n06_fun_fwd-n06_fun_rev-rc-R2	91.68311944718657	53.0	224.0	36.36363636363637	4052.0
P01-01-B-n06_fun_fwd-n07_fun_rev-rc-R2	80.0	53.0	223.0	40.0	5.0
P01-01-B-n06_fun_fwd-n08_fun_rev-rc-R2	0.0	53.0	222.0	20.0	1.0
P01-01-B-n06_gi_fwd-n05_gi_rev-rc-R2	0.0	41.0	228.0	30.0	2.0
P01-01-B-n06_gi_fwd-n06_gi_rev-rc-R2	84.765625	42.0	227.0	36.36363636363637	512.0
P01-01-B-n06_gi_fwd-n07_gi_rev-rc-R2	85.18518518518519	42.0	226.0	36.36363636363637	135.0
P01-01-B-n06_gi_fwd-n08_gi_rev-rc-R2	0.0	44.0	225.0	20.0	1.0
P01-01-B-n07_fun_fwd-n06_fun_rev-rc-R2	33.33333333333334	53.0	224.0	30.0	3.0
P01-01-B-n07_gi_fwd-n06_gi_rev-rc-R2	33.33333333333334	42.0	227.0	30.0	3.0
P01-01-B-n07_gi_fwd-n07_gi_rev-rc-R2	90.85648148148148	42.0	226.0	36.36363636363637	864.0
P01-01-B-n07_gi_fwd-n08_gi_rev-rc-R2	75.0	42.0	225.0	40.0	4.0
P01-01-B-n08_gi_fwd-n07_gi_rev-rc-R2	87.5	42.0	226.0	40.0	8.0
P01-01-B-n08_gi_fwd-n08_gi_rev-rc-R2	83.78378378378378	41.0	225.0	36.36363636363637	74.0
P01-01-B-n08_gi_fwd-n09_gi_rev-rc-R2	66.66666666666667	42.0	224.0	36.36363636363637	18.0
P01-01-B-n09_gi_fwd-n07_gi_rev-rc-R2	0.0	42.0	226.0	20.0	1.0
P01-01-B-n09_gi_fwd-n08_gi_rev-rc-R2	84.21052631578948	41.0	225.0	36.36363636363637	19.0
P01-01-B-n09_gi_fwd-n09_gi_rev-rc-R2	88.14935064935065	42.0	224.0	36.36363636363637	616.0
P01-01-B-n09_gi_fwd-n10_gi_rev-rc-R2	0.0	43.0	223.0	20.0	1.0
