Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	per_tile_sequence_quality
P01-01-A-n01_fun_fwd-n05_fun_rev-R1	P01-01-A-n01_fun_fwd-n05_fun_rev-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1.0	0.0	225.0	60.0	100.0	225.0	pass	pass	pass	fail	pass	pass	pass	pass	fail	pass	
P01-01-A-n02_fun_fwd-n04_fun_rev-R1	P01-01-A-n02_fun_fwd-n04_fun_rev-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3.0	0.0	224.0	59.0	100.0	224.0	pass	pass	pass	fail	fail	pass	pass	pass	fail	pass	
P01-01-A-n03_fun_fwd-n02_fun_rev-R1	P01-01-A-n03_fun_fwd-n02_fun_rev-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3.0	0.0	223.0	59.0	66.66666666666666	223.0	pass	pass	pass	fail	fail	pass	pass	warn	fail	pass	
P01-01-A-n03_fun_fwd-n03_fun_rev-R1	P01-01-A-n03_fun_fwd-n03_fun_rev-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	389.0	0.0	223.0	59.0	17.223650385604113	223.0	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass	pass
P01-01-A-n03_fun_fwd-n04_fun_rev-R1	P01-01-A-n03_fun_fwd-n04_fun_rev-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9.0	0.0	223.0	59.0	33.33333333333333	223.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass	
P01-01-A-n03_fun_fwd-n05_fun_rev-R1	P01-01-A-n03_fun_fwd-n05_fun_rev-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1.0	0.0	223.0	59.0	100.0	223.0	pass	pass	pass	fail	pass	pass	pass	pass	fail	pass	
P01-01-A-n04_fun_fwd-n02_fun_rev-R1	P01-01-A-n04_fun_fwd-n02_fun_rev-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2.0	0.0	222.0	60.0	100.0	222.0	pass	pass	pass	fail	fail	pass	pass	pass	fail	pass	
P01-01-A-n04_fun_fwd-n03_fun_rev-R1	P01-01-A-n04_fun_fwd-n03_fun_rev-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24.0	0.0	222.0	60.0	20.833333333333336	222.0	pass	pass	pass	fail	pass	pass	pass	fail	fail	pass	pass
P01-01-A-n04_fun_fwd-n04_fun_rev-R1	P01-01-A-n04_fun_fwd-n04_fun_rev-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3723.0	0.0	222.0	60.0	4.13644910018802	222.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass	pass
P01-01-A-n04_fun_fwd-n05_fun_rev-R1	P01-01-A-n04_fun_fwd-n05_fun_rev-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15.0	0.0	222.0	60.0	13.333333333333334	222.0	pass	pass	pass	fail	pass	pass	pass	fail	fail	pass	pass
P01-01-A-n04_fun_fwd-n06_fun_rev-R1	P01-01-A-n04_fun_fwd-n06_fun_rev-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2.0	0.0	222.0	60.0	50.0	222.0	pass	pass	pass	fail	fail	pass	pass	warn	fail	pass	
P01-01-A-n04_gi_fwd-n06_gi_rev-R1	P01-01-A-n04_gi_fwd-n06_gi_rev-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1.0	0.0	225.0	46.0	100.0	225.0	pass	pass	pass	fail	pass	pass	pass	pass	fail	pass	
P01-01-A-n04_gi_fwd-n07_gi_rev-R1	P01-01-A-n04_gi_fwd-n07_gi_rev-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2.0	0.0	225.0	46.0	50.0	225.0	pass	pass	pass	fail	fail	pass	pass	warn	fail	pass	
P01-01-A-n05_fun_fwd-n01_fun_rev-R1	P01-01-A-n05_fun_fwd-n01_fun_rev-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1.0	0.0	221.0	60.0	100.0	221.0	pass	pass	pass	fail	pass	pass	pass	pass	fail	pass	
P01-01-A-n05_fun_fwd-n03_fun_rev-R1	P01-01-A-n05_fun_fwd-n03_fun_rev-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2.0	0.0	221.0	59.0	50.0	221.0	pass	pass	pass	fail	fail	pass	pass	warn	fail	pass	
P01-01-A-n05_fun_fwd-n04_fun_rev-R1	P01-01-A-n05_fun_fwd-n04_fun_rev-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23.0	0.0	221.0	60.0	47.82608695652174	221.0	pass	pass	pass	fail	pass	pass	pass	fail	fail	pass	pass
P01-01-A-n05_fun_fwd-n05_fun_rev-R1	P01-01-A-n05_fun_fwd-n05_fun_rev-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2376.0	0.0	221.0	60.0	6.481481481481481	221.0	pass	pass	pass	fail	pass	pass	pass	fail	fail	pass	pass
P01-01-A-n05_fun_fwd-n06_fun_rev-R1	P01-01-A-n05_fun_fwd-n06_fun_rev-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9.0	0.0	221.0	60.0	66.66666666666666	221.0	pass	pass	pass	fail	fail	pass	pass	warn	fail	pass	
