Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
P01-01-A-n01_fun_fwd-n05_fun_rev-R1	0.0	60.0	225.0	20.0	1.0
P01-01-A-n02_fun_fwd-n04_fun_rev-R1	0.0	59.0	224.0	30.0	3.0
P01-01-A-n03_fun_fwd-n02_fun_rev-R1	33.33333333333334	59.0	223.0	30.0	3.0
P01-01-A-n03_fun_fwd-n03_fun_rev-R1	82.77634961439588	59.0	223.0	27.27272727272727	389.0
P01-01-A-n03_fun_fwd-n04_fun_rev-R1	66.66666666666667	59.0	223.0	40.0	9.0
P01-01-A-n03_fun_fwd-n05_fun_rev-R1	0.0	59.0	223.0	20.0	1.0
P01-01-A-n04_fun_fwd-n02_fun_rev-R1	0.0	60.0	222.0	30.0	2.0
P01-01-A-n04_fun_fwd-n03_fun_rev-R1	79.16666666666666	60.0	222.0	27.27272727272727	24.0
P01-01-A-n04_fun_fwd-n04_fun_rev-R1	95.86355089981198	60.0	222.0	36.36363636363637	3723.0
P01-01-A-n04_fun_fwd-n05_fun_rev-R1	86.66666666666667	60.0	222.0	27.27272727272727	15.0
P01-01-A-n04_fun_fwd-n06_fun_rev-R1	50.0	60.0	222.0	30.0	2.0
P01-01-A-n04_gi_fwd-n06_gi_rev-R1	0.0	46.0	225.0	20.0	1.0
P01-01-A-n04_gi_fwd-n07_gi_rev-R1	50.0	46.0	225.0	30.0	2.0
P01-01-A-n05_fun_fwd-n01_fun_rev-R1	0.0	60.0	221.0	20.0	1.0
P01-01-A-n05_fun_fwd-n03_fun_rev-R1	50.0	59.0	221.0	30.0	2.0
P01-01-A-n05_fun_fwd-n04_fun_rev-R1	52.17391304347826	60.0	221.0	27.27272727272727	23.0
P01-01-A-n05_fun_fwd-n05_fun_rev-R1	93.51851851851852	60.0	221.0	27.27272727272727	2376.0
P01-01-A-n05_fun_fwd-n06_fun_rev-R1	33.33333333333334	60.0	221.0	30.0	9.0
P01-01-A-n05_fun_fwd-n07_fun_rev-R1	0.0	59.0	221.0	20.0	1.0
P01-01-A-n05_gi_fwd-n06_gi_rev-R1	79.3103448275862	46.0	224.0	27.27272727272727	29.0
P01-01-A-n05_gi_fwd-n07_gi_rev-R1	33.33333333333334	46.0	224.0	30.0	6.0
P01-01-A-n06_fun_fwd-n02_fun_rev-R1	0.0	59.0	220.0	20.0	1.0
P01-01-A-n06_fun_fwd-n03_fun_rev-R1	0.0	59.0	220.0	30.0	2.0
P01-01-A-n06_fun_fwd-n04_fun_rev-R1	0.0	60.0	220.0	30.0	1.0
P01-01-A-n06_fun_fwd-n05_fun_rev-R1	51.724137931034484	60.0	220.0	27.27272727272727	29.0
P01-01-A-n06_fun_fwd-n06_fun_rev-R1	91.02960671674768	60.0	220.0	36.36363636363637	2263.0
P01-01-A-n06_fun_fwd-n07_fun_rev-R1	80.0	60.0	220.0	40.0	5.0
P01-01-A-n06_gi_fwd-n04_gi_rev-R1	0.0	47.0	223.0	20.0	1.0
P01-01-A-n06_gi_fwd-n06_fun_rev-R1	0.0	57.0	223.0	20.0	1.0
P01-01-A-n06_gi_fwd-n06_gi_rev-R1	91.04859335038363	47.0	223.0	27.27272727272727	782.0
P01-01-A-n06_gi_fwd-n07_gi_rev-R1	78.80794701986756	47.0	223.0	27.27272727272727	151.0
P01-01-A-n06_gi_fwd-n08_gi_rev-R1	50.0	47.0	223.0	30.0	4.0
P01-01-A-n07_fun_fwd-n06_fun_rev-R1	0.0	60.0	219.0	20.0	1.0
P01-01-A-n07_gi_fwd-n06_gi_rev-R1	0.0	47.0	222.0	30.0	3.0
P01-01-A-n07_gi_fwd-n07_gi_rev-R1	90.92945128779395	47.0	222.0	27.27272727272727	893.0
P01-01-A-n07_gi_fwd-n08_gi_rev-R1	83.33333333333334	47.0	222.0	27.27272727272727	42.0
P01-01-A-n08_fun_fwd-n05_fun_rev-R1	0.0	61.0	218.0	20.0	1.0
P01-01-A-n08_gi_fwd-n07_gi_rev-R1	40.0	46.0	221.0	18.181818181818183	10.0
P01-01-A-n08_gi_fwd-n08_gi_rev-R1	89.13250714966635	46.0	221.0	27.27272727272727	1049.0
P01-01-A-n08_gi_fwd-n09_gi_rev-R1	57.89473684210527	47.0	221.0	27.27272727272727	19.0
P01-01-A-n09_gi_fwd-n08_gi_rev-R1	36.36363636363637	46.0	220.0	18.181818181818183	11.0
P01-01-A-n09_gi_fwd-n09_gi_rev-R1	80.1452784503632	47.0	220.0	27.27272727272727	413.0
P01-01-A-n09_gi_fwd-n10_gi_rev-R1	0.0	46.0	220.0	30.0	2.0
P01-01-A-n10_gi_fwd-n09_gi_rev-R1	0.0	47.0	219.0	30.0	3.0
P01-01-B-n02_fun_fwd-n03_fun_rev-R1	0.0	60.0	224.0	30.0	2.0
P01-01-B-n02_fun_fwd-n04_fun_rev-R1	0.0	60.0	224.0	20.0	1.0
P01-01-B-n03_fun_fwd-n03_fun_rev-R1	72.07207207207207	59.0	223.0	27.27272727272727	111.0
P01-01-B-n03_fun_fwd-n04_fun_rev-R1	33.33333333333334	60.0	223.0	30.0	6.0
P01-01-B-n03_fun_fwd-n06_fun_rev-R1	50.0	60.0	223.0	30.0	2.0
P01-01-B-n04_fun_fwd-n03_fun_rev-R1	57.142857142857146	60.0	222.0	40.0	7.0
P01-01-B-n04_fun_fwd-n04_fun_rev-R1	94.37528815122177	60.0	222.0	36.36363636363637	2169.0
P01-01-B-n04_fun_fwd-n05_fun_rev-R1	66.66666666666667	60.0	222.0	40.0	6.0
P01-01-B-n05_fun_fwd-n02_fun_rev-R1	0.0	60.0	221.0	20.0	1.0
P01-01-B-n05_fun_fwd-n03_fun_rev-R1	0.0	60.0	221.0	20.0	1.0
P01-01-B-n05_fun_fwd-n04_fun_rev-R1	57.142857142857146	60.0	221.0	40.0	7.0
P01-01-B-n05_fun_fwd-n05_fun_rev-R1	86.18181818181819	60.0	221.0	27.27272727272727	550.0
P01-01-B-n05_fun_fwd-n06_fun_rev-R1	93.33333333333333	60.0	221.0	36.36363636363637	15.0
P01-01-B-n05_gi_fwd-n06_gi_rev-R1	78.26086956521739	46.0	224.0	27.27272727272727	23.0
P01-01-B-n05_gi_fwd-n07_gi_rev-R1	42.85714285714286	47.0	224.0	20.0	7.0
P01-01-B-n06_fun_fwd-n02_fun_rev-R1	0.0	60.0	220.0	20.0	1.0
P01-01-B-n06_fun_fwd-n04_fun_rev-R1	0.0	60.0	220.0	20.0	1.0
P01-01-B-n06_fun_fwd-n05_fun_rev-R1	68.62745098039215	60.0	220.0	36.36363636363637	51.0
P01-01-B-n06_fun_fwd-n06_fun_rev-R1	94.00296150049358	60.0	220.0	36.36363636363637	4052.0
P01-01-B-n06_fun_fwd-n07_fun_rev-R1	60.0	60.0	220.0	30.0	5.0
P01-01-B-n06_fun_fwd-n08_fun_rev-R1	0.0	60.0	220.0	20.0	1.0
P01-01-B-n06_gi_fwd-n05_fun_rev-R1	0.0	47.0	223.0	20.0	1.0
P01-01-B-n06_gi_fwd-n05_gi_rev-R1	50.0	47.0	223.0	30.0	2.0
P01-01-B-n06_gi_fwd-n06_fun_rev-R1	33.33333333333334	58.0	223.0	30.0	3.0
P01-01-B-n06_gi_fwd-n06_gi_rev-R1	89.0625	47.0	223.0	27.27272727272727	512.0
P01-01-B-n06_gi_fwd-n07_gi_rev-R1	80.0	47.0	223.0	27.27272727272727	135.0
P01-01-B-n06_gi_fwd-n08_gi_rev-R1	0.0	46.0	223.0	20.0	1.0
P01-01-B-n07_fun_fwd-n06_fun_rev-R1	0.0	60.0	219.0	30.0	3.0
P01-01-B-n07_gi_fwd-n06_gi_rev-R1	33.33333333333334	46.0	222.0	30.0	3.0
P01-01-B-n07_gi_fwd-n07_gi_rev-R1	91.66666666666667	47.0	222.0	27.27272727272727	864.0
P01-01-B-n07_gi_fwd-n08_gi_rev-R1	75.0	47.0	222.0	40.0	4.0
P01-01-B-n08_gi_fwd-n07_gi_rev-R1	62.5	46.0	221.0	40.0	8.0
P01-01-B-n08_gi_fwd-n08_gi_rev-R1	83.78378378378378	47.0	221.0	27.27272727272727	74.0
P01-01-B-n08_gi_fwd-n09_gi_rev-R1	50.0	47.0	221.0	18.181818181818183	18.0
P01-01-B-n09_gi_fwd-n04_fun_rev-R1	0.0	47.0	220.0	20.0	1.0
P01-01-B-n09_gi_fwd-n07_gi_rev-R1	0.0	47.0	220.0	20.0	1.0
P01-01-B-n09_gi_fwd-n08_gi_rev-R1	42.10526315789473	47.0	220.0	18.181818181818183	19.0
P01-01-B-n09_gi_fwd-n09_gi_rev-R1	81.49350649350649	47.0	220.0	27.27272727272727	616.0
P01-01-B-n09_gi_fwd-n10_gi_rev-R1	0.0	47.0	220.0	20.0	1.0
P01-01-B-n10_gi_fwd-n09_gi_rev-R1	0.0	47.0	219.0	30.0	3.0
P01-01-C-n01_fun_fwd-n03_fun_rev-R1	0.0	60.0	225.0	20.0	1.0
P01-01-C-n01_fun_fwd-n05_fun_rev-R1	0.0	59.0	225.0	20.0	1.0
P01-01-C-n02_fun_fwd-n03_fun_rev-R1	50.0	60.0	224.0	30.0	4.0
P01-01-C-n02_fun_fwd-n04_fun_rev-R1	0.0	60.0	224.0	30.0	2.0
P01-01-C-n03_fun_fwd-n02_fun_rev-R1	44.44444444444444	60.0	223.0	20.0	9.0
P01-01-C-n03_fun_fwd-n03_fun_rev-R1	90.66666666666667	59.0	223.0	36.36363636363637	2100.0
P01-01-C-n03_fun_fwd-n04_fun_rev-R1	40.0	59.0	223.0	27.27272727272727	10.0
P01-01-C-n04_fun_fwd-n01_fun_rev-R1	0.0	60.0	222.0	20.0	1.0
P01-01-C-n04_fun_fwd-n03_fun_rev-R1	78.57142857142857	60.0	222.0	36.36363636363637	14.0
P01-01-C-n04_fun_fwd-n04_fun_rev-R1	95.21072796934865	60.0	222.0	36.36363636363637	3654.0
P01-01-C-n04_fun_fwd-n05_fun_rev-R1	77.77777777777777	60.0	222.0	27.27272727272727	18.0
P01-01-C-n04_fun_fwd-n06_fun_rev-R1	0.0	60.0	222.0	20.0	1.0
P01-01-C-n04_gi_fwd-n06_gi_rev-R1	0.0	47.0	225.0	30.0	2.0
P01-01-C-n05_fun_fwd-n03_fun_rev-R1	0.0	60.0	221.0	20.0	1.0
P01-01-C-n05_fun_fwd-n04_fun_rev-R1	84.61538461538461	60.0	221.0	36.36363636363637	39.0
P01-01-C-n05_fun_fwd-n05_fun_rev-R1	93.98162812796959	60.0	221.0	27.27272727272727	3157.0
P01-01-C-n05_fun_fwd-n06_fun_rev-R1	50.0	60.0	221.0	30.0	8.0
P01-01-C-n05_gi_fwd-n06_gi_rev-R1	69.69696969696969	46.0	224.0	27.27272727272727	33.0
P01-01-C-n05_gi_fwd-n07_gi_rev-R1	0.0	46.0	224.0	30.0	2.0
P01-01-C-n06_fun_fwd-n05_fun_rev-R1	33.33333333333334	60.0	220.0	30.0	6.0
P01-01-C-n06_fun_fwd-n06_fun_rev-R1	85.5421686746988	60.0	220.0	36.36363636363637	332.0
P01-01-C-n06_gi_fwd-n05_gi_rev-R1	60.0	47.0	223.0	40.0	5.0
P01-01-C-n06_gi_fwd-n06_gi_rev-R1	90.34965034965035	47.0	223.0	27.27272727272727	715.0
P01-01-C-n06_gi_fwd-n07_gi_rev-R1	75.0	47.0	223.0	27.27272727272727	32.0
P01-01-C-n06_gi_fwd-n08_gi_rev-R1	0.0	47.0	223.0	20.0	1.0
P01-01-C-n07_fun_fwd-n06_fun_rev-R1	0.0	61.0	219.0	30.0	2.0
P01-01-C-n07_gi_fwd-n06_gi_rev-R1	50.0	46.0	222.0	20.0	2.0
P01-01-C-n07_gi_fwd-n07_gi_rev-R1	83.93782383419689	47.0	222.0	27.27272727272727	193.0
P01-01-C-n07_gi_fwd-n08_gi_rev-R1	76.0	47.0	222.0	27.27272727272727	25.0
P01-01-C-n08_gi_fwd-n06_gi_rev-R1	0.0	46.0	221.0	20.0	1.0
P01-01-C-n08_gi_fwd-n07_gi_rev-R1	50.0	46.0	221.0	30.0	4.0
P01-01-C-n08_gi_fwd-n08_gi_rev-R1	86.86746987951807	46.0	221.0	27.27272727272727	830.0
P01-01-C-n08_gi_fwd-n09_gi_rev-R1	58.33333333333333	46.0	221.0	27.27272727272727	12.0
P01-01-C-n09_gi_fwd-n08_gi_rev-R1	38.46153846153846	47.0	220.0	18.181818181818183	13.0
P01-01-C-n09_gi_fwd-n09_gi_rev-R1	79.33130699088146	47.0	220.0	27.27272727272727	329.0
P01-01-C-n09_gi_fwd-n10_gi_rev-R1	0.0	47.0	220.0	20.0	1.0
P01-01-C-n10_gi_fwd-n09_gi_rev-R1	0.0	47.0	219.0	20.0	1.0
P01-01-D-n01_fun_fwd-n04_fun_rev-R1	0.0	60.0	225.0	20.0	1.0
P01-01-D-n02_fun_fwd-n03_fun_rev-R1	0.0	60.0	224.0	30.0	3.0
P01-01-D-n02_fun_fwd-n04_fun_rev-R1	50.0	60.0	224.0	30.0	2.0
P01-01-D-n02_fun_fwd-n05_fun_rev-R1	0.0	60.0	224.0	30.0	2.0
P01-01-D-n03_fun_fwd-n01_fun_rev-R1	0.0	60.0	223.0	20.0	1.0
P01-01-D-n03_fun_fwd-n02_fun_rev-R1	44.99999999999999	60.0	223.0	27.27272727272727	20.0
P01-01-D-n03_fun_fwd-n03_fun_rev-R1	89.14956011730206	59.0	223.0	36.36363636363637	1705.0
P01-01-D-n03_fun_fwd-n04_fun_rev-R1	70.58823529411765	59.0	223.0	36.36363636363637	34.0
P01-01-D-n04_fun_fwd-n01_fun_rev-R1	0.0	60.0	222.0	30.0	1.0
P01-01-D-n04_fun_fwd-n02_fun_rev-R1	66.66666666666667	60.0	222.0	40.0	3.0
P01-01-D-n04_fun_fwd-n03_fun_rev-R1	76.47058823529412	60.0	222.0	36.36363636363637	51.0
P01-01-D-n04_fun_fwd-n04_fun_rev-R1	96.80669883621913	60.0	222.0	36.36363636363637	7046.0
P01-01-D-n04_fun_fwd-n05_fun_rev-R1	73.6842105263158	60.0	222.0	36.36363636363637	19.0
P01-01-D-n04_gi_fwd-n06_gi_rev-R1	0.0	47.0	225.0	20.0	2.0
P01-01-D-n05_fun_fwd-n03_fun_rev-R1	0.0	60.0	221.0	20.0	1.0
P01-01-D-n05_fun_fwd-n04_fun_rev-R1	75.55555555555556	60.0	221.0	36.36363636363637	45.0
P01-01-D-n05_fun_fwd-n05_fun_rev-R1	93.59070464767616	60.0	221.0	27.27272727272727	2668.0
P01-01-D-n05_fun_fwd-n06_fun_rev-R1	80.0	60.0	221.0	36.36363636363637	10.0
P01-01-D-n05_gi_fwd-n06_gi_rev-R1	61.904761904761905	46.0	224.0	27.27272727272727	21.0
P01-01-D-n05_gi_fwd-n07_gi_rev-R1	33.33333333333334	46.0	224.0	30.0	3.0
P01-01-D-n05_gi_fwd-n08_gi_rev-R1	0.0	46.0	224.0	20.0	1.0
P01-01-D-n06_fun_fwd-n05_fun_rev-R1	42.85714285714286	60.0	220.0	30.0	7.0
P01-01-D-n06_fun_fwd-n06_fun_rev-R1	80.45977011494253	60.0	220.0	36.36363636363637	174.0
P01-01-D-n06_gi_fwd-n05_gi_rev-R1	50.0	47.0	223.0	30.0	2.0
P01-01-D-n06_gi_fwd-n06_gi_rev-R1	89.27973199329983	47.0	223.0	27.27272727272727	597.0
P01-01-D-n06_gi_fwd-n07_gi_rev-R1	87.83783783783784	47.0	223.0	27.27272727272727	74.0
P01-01-D-n06_gi_fwd-n08_gi_rev-R1	66.66666666666667	47.0	223.0	40.0	3.0
P01-01-D-n07_gi_fwd-n06_gi_rev-R1	50.0	47.0	222.0	30.0	4.0
P01-01-D-n07_gi_fwd-n07_gi_rev-R1	86.22222222222223	47.0	222.0	27.27272727272727	450.0
P01-01-D-n07_gi_fwd-n08_gi_rev-R1	74.07407407407408	47.0	222.0	27.27272727272727	27.0
P01-01-D-n07_gi_fwd-n09_gi_rev-R1	0.0	46.0	222.0	30.0	2.0
P01-01-D-n08_gi_fwd-n05_gi_rev-R1	0.0	47.0	221.0	20.0	1.0
P01-01-D-n08_gi_fwd-n07_gi_rev-R1	42.85714285714286	47.0	221.0	20.0	7.0
P01-01-D-n08_gi_fwd-n08_gi_rev-R1	87.30703259005146	46.0	221.0	27.27272727272727	583.0
P01-01-D-n08_gi_fwd-n09_gi_rev-R1	66.66666666666667	47.0	221.0	40.0	3.0
P01-01-D-n09_gi_fwd-n08_gi_rev-R1	0.0	46.0	220.0	20.0	3.0
P01-01-D-n09_gi_fwd-n09_gi_rev-R1	62.16216216216216	47.0	220.0	27.27272727272727	74.0
P01-01-D-n10_gi_fwd-n09_gi_rev-R1	0.0	46.0	219.0	20.0	1.0
P01-01-E-n01_fun_fwd-n03_fun_rev-R1	0.0	60.0	225.0	20.0	1.0
P01-01-E-n02_fun_fwd-n03_fun_rev-R1	50.0	60.0	224.0	30.0	8.0
P01-01-E-n02_fun_fwd-n04_fun_rev-R1	0.0	60.0	224.0	20.0	1.0
P01-01-E-n03_fun_fwd-n02_fun_rev-R1	66.66666666666667	59.0	223.0	27.27272727272727	18.0
P01-01-E-n03_fun_fwd-n03_fun_rev-R1	91.58540989526905	59.0	223.0	36.36363636363637	2769.0
P01-01-E-n03_fun_fwd-n04_fun_rev-R1	68.75	59.0	223.0	27.27272727272727	16.0
P01-01-E-n03_fun_fwd-n05_fun_rev-R1	0.0	59.0	223.0	20.0	1.0
P01-01-E-n04_fun_fwd-n02_fun_rev-R1	0.0	59.0	222.0	20.0	1.0
P01-01-E-n04_fun_fwd-n03_fun_rev-R1	80.0	60.0	222.0	36.36363636363637	35.0
