"template","tags","dilution","fun_n","gi_n","fun_id","gi_id","combo"
"standard","P01-01-F",0.00125,"n06_fun_fwd-n06_fun_rev","n09_gi_fwd-n09_gi_rev","P01-01-F-n06_fun_fwd-n06_fun_rev","P01-01-F-n09_gi_fwd-n09_gi_rev","P01-01-F-n06_fun_fwd-n06_fun_rev.P01-01-F-n09_gi_fwd-n09_gi_rev"
"standard","P01-01-E",0.000625,"n03_fun_fwd-n03_fun_rev","n07_gi_fwd-n07_gi_rev","P01-01-E-n03_fun_fwd-n03_fun_rev","P01-01-E-n07_gi_fwd-n07_gi_rev","P01-01-E-n03_fun_fwd-n03_fun_rev.P01-01-E-n07_gi_fwd-n07_gi_rev"
"standard","P01-01-F",7.8125e-05,"n03_fun_fwd-n03_fun_rev","n07_gi_fwd-n07_gi_rev","P01-01-F-n03_fun_fwd-n03_fun_rev","P01-01-F-n07_gi_fwd-n07_gi_rev","P01-01-F-n03_fun_fwd-n03_fun_rev.P01-01-F-n07_gi_fwd-n07_gi_rev"
"dfssmt","P01-01-G",NA,"n06_fun_fwd-n06_fun_rev","n08_gi_fwd-n08_gi_rev","P01-01-G-n06_fun_fwd-n06_fun_rev","P01-01-G-n08_gi_fwd-n08_gi_rev","P01-01-G-n06_fun_fwd-n06_fun_rev.P01-01-G-n08_gi_fwd-n08_gi_rev"
"dfssmt","P01-01-H",NA,"n06_fun_fwd-n06_fun_rev","n08_gi_fwd-n08_gi_rev","P01-01-H-n06_fun_fwd-n06_fun_rev","P01-01-H-n08_gi_fwd-n08_gi_rev","P01-01-H-n06_fun_fwd-n06_fun_rev.P01-01-H-n08_gi_fwd-n08_gi_rev"
"dfssmt","P01-01-G",NA,"n04_fun_fwd-n04_fun_rev","n09_gi_fwd-n09_gi_rev","P01-01-G-n04_fun_fwd-n04_fun_rev","P01-01-G-n09_gi_fwd-n09_gi_rev","P01-01-G-n04_fun_fwd-n04_fun_rev.P01-01-G-n09_gi_fwd-n09_gi_rev"
"dfssmt","P01-01-H",NA,"n04_fun_fwd-n04_fun_rev","n09_gi_fwd-n09_gi_rev","P01-01-H-n04_fun_fwd-n04_fun_rev","P01-01-H-n09_gi_fwd-n09_gi_rev","P01-01-H-n04_fun_fwd-n04_fun_rev.P01-01-H-n09_gi_fwd-n09_gi_rev"
"dfssmt","P01-01-G",NA,"n05_fun_fwd-n05_fun_rev","n06_gi_fwd-n06_gi_rev","P01-01-G-n05_fun_fwd-n05_fun_rev","P01-01-G-n06_gi_fwd-n06_gi_rev","P01-01-G-n05_fun_fwd-n05_fun_rev.P01-01-G-n06_gi_fwd-n06_gi_rev"
"dfssmt","P01-01-H",NA,"n05_fun_fwd-n05_fun_rev","n06_gi_fwd-n06_gi_rev","P01-01-H-n05_fun_fwd-n05_fun_rev","P01-01-H-n06_gi_fwd-n06_gi_rev","P01-01-H-n05_fun_fwd-n05_fun_rev.P01-01-H-n06_gi_fwd-n06_gi_rev"
"dfssmt","P01-01-G",NA,"n03_fun_fwd-n03_fun_rev","n07_gi_fwd-n07_gi_rev","P01-01-G-n03_fun_fwd-n03_fun_rev","P01-01-G-n07_gi_fwd-n07_gi_rev","P01-01-G-n03_fun_fwd-n03_fun_rev.P01-01-G-n07_gi_fwd-n07_gi_rev"
"dfssmt","P01-01-H",NA,"n03_fun_fwd-n03_fun_rev","n07_gi_fwd-n07_gi_rev","P01-01-H-n03_fun_fwd-n03_fun_rev","P01-01-H-n07_gi_fwd-n07_gi_rev","P01-01-H-n03_fun_fwd-n03_fun_rev.P01-01-H-n07_gi_fwd-n07_gi_rev"
"control","P01-02-A",NA,"n03_fun_fwd-n03_fun_rev","n06_fun_fwd-n06_fun_rev","P01-02-A-n03_fun_fwd-n03_fun_rev","P01-02-A-n06_fun_fwd-n06_fun_rev","P01-02-A-n03_fun_fwd-n03_fun_rev.P01-02-A-n06_fun_fwd-n06_fun_rev"
"control","P01-02-B",NA,"n04_fun_fwd-n04_fun_rev","n07_fun_fwd-n07_fun_rev","P01-02-B-n04_fun_fwd-n04_fun_rev","P01-02-B-n07_fun_fwd-n07_fun_rev","P01-02-B-n04_fun_fwd-n04_fun_rev.P01-02-B-n07_fun_fwd-n07_fun_rev"
"control","P01-02-C",NA,"n05_fun_fwd-n05_fun_rev","n08_fun_fwd-n08_fun_rev","P01-02-C-n05_fun_fwd-n05_fun_rev","P01-02-C-n08_fun_fwd-n08_fun_rev","P01-02-C-n05_fun_fwd-n05_fun_rev.P01-02-C-n08_fun_fwd-n08_fun_rev"
"control","P01-02-D",NA,"n06_fun_fwd-n06_fun_rev","n09_fun_fwd-n09_fun_rev","P01-02-D-n06_fun_fwd-n06_fun_rev","P01-02-D-n09_fun_fwd-n09_fun_rev","P01-02-D-n06_fun_fwd-n06_fun_rev.P01-02-D-n09_fun_fwd-n09_fun_rev"
