sample input filtered denoised.fwd denoised.rev merged
P01-01-C-n02_fun_fwd-n04_fun_rev 2 2 2 2 2
P01-01-C-n03_fun_fwd-n02_fun_rev 9 9 9 9 9
P01-01-C-n03_fun_fwd-n03_fun_rev 2100 2050 2048 2049 2048
P01-01-C-n03_fun_fwd-n04_fun_rev 10 10 10 10 10
P01-01-C-n04_fun_fwd-n01_fun_rev 1 1 1 1 1
P01-01-C-n04_fun_fwd-n03_fun_rev 14 13 13 13 13
P01-01-C-n04_fun_fwd-n04_fun_rev 3654 3592 3584 3589 3583
P01-01-C-n04_fun_fwd-n05_fun_rev 18 18 18 18 18
P01-01-C-n04_fun_fwd-n06_fun_rev 1 1 1 1 1
P01-01-C-n05_fun_fwd-n03_fun_rev 1 1 1 1 1
P01-01-C-n05_fun_fwd-n04_fun_rev 39 38 38 38 38
P01-01-C-n05_fun_fwd-n05_fun_rev 3157 3079 3078 3079 3078
P01-01-C-n05_fun_fwd-n06_fun_rev 8 8 8 8 8
P01-01-C-n06_fun_fwd-n05_fun_rev 6 6 6 6 6
P01-01-C-n06_fun_fwd-n06_fun_rev 332 322 322 322 322
P01-01-C-n07_fun_fwd-n06_fun_rev 2 2 2 2 0
P01-01-D-n01_fun_fwd-n04_fun_rev 1 1 1 1 1
P01-01-D-n02_fun_fwd-n03_fun_rev 3 3 3 3 3
P01-01-D-n02_fun_fwd-n04_fun_rev 2 2 2 2 2
P01-01-D-n02_fun_fwd-n05_fun_rev 2 1 1 1 1
P01-01-D-n03_fun_fwd-n01_fun_rev 1 1 1 1 1
P01-01-D-n03_fun_fwd-n02_fun_rev 20 20 20 20 20
P01-01-D-n03_fun_fwd-n03_fun_rev 1705 1661 1656 1656 1656
P01-01-D-n03_fun_fwd-n04_fun_rev 34 34 34 34 34
P01-01-D-n04_fun_fwd-n01_fun_rev 1 1 1 1 1
P01-01-D-n04_fun_fwd-n02_fun_rev 3 3 3 3 3
P01-01-D-n04_fun_fwd-n03_fun_rev 51 51 51 51 51
P01-01-D-n04_fun_fwd-n04_fun_rev 7046 6901 6893 6900 6892
P01-01-D-n04_fun_fwd-n05_fun_rev 19 19 19 19 19
P01-01-D-n05_fun_fwd-n03_fun_rev 1 1 1 1 0
P01-01-D-n05_fun_fwd-n04_fun_rev 45 44 44 44 44
P01-01-D-n05_fun_fwd-n05_fun_rev 2668 2598 2595 2595 2595
P01-01-D-n05_fun_fwd-n06_fun_rev 10 10 10 10 10
P01-01-D-n06_fun_fwd-n05_fun_rev 7 6 6 6 0
P01-01-D-n06_fun_fwd-n06_fun_rev 174 169 169 169 169
P01-01-E-n01_fun_fwd-n03_fun_rev 1 1 1 1 1
P01-01-E-n02_fun_fwd-n03_fun_rev 8 8 8 8 8
P01-01-E-n02_fun_fwd-n04_fun_rev 1 1 1 1 1
P01-01-E-n03_fun_fwd-n02_fun_rev 18 18 18 18 18
P01-01-E-n03_fun_fwd-n03_fun_rev 2769 2714 2693 2710 2693
P01-01-E-n03_fun_fwd-n04_fun_rev 16 16 16 16 16
P01-01-E-n03_fun_fwd-n05_fun_rev 1 1 1 1 1
P01-01-E-n04_fun_fwd-n02_fun_rev 1 1 1 1 0
P01-01-E-n04_fun_fwd-n03_fun_rev 35 35 35 35 35
P01-01-E-n04_fun_fwd-n04_fun_rev 5335 5252 5240 5251 5240
P01-01-E-n04_fun_fwd-n05_fun_rev 17 17 17 17 17
P01-01-E-n05_fun_fwd-n01_fun_rev 2 2 2 2 2
P01-01-E-n05_fun_fwd-n03_fun_rev 1 1 1 1 1
P01-01-E-n05_fun_fwd-n04_fun_rev 38 37 37 37 37
P01-01-E-n05_fun_fwd-n05_fun_rev 4347 4237 4237 4237 4237
P01-01-E-n05_fun_fwd-n06_fun_rev 8 8 8 8 8
P01-01-E-n06_fun_fwd-n05_fun_rev 10 10 10 10 10
P01-01-E-n06_fun_fwd-n06_fun_rev 349 344 344 344 344
P01-01-F-n01_fun_fwd-n04_fun_rev 1 1 1 1 0
P01-01-F-n02_fun_fwd-n03_fun_rev 4 4 3 3 3
P01-01-F-n02_fun_fwd-n05_fun_rev 1 1 1 1 1
P01-01-F-n03_fun_fwd-n02_fun_rev 5 4 4 4 4
P01-01-F-n03_fun_fwd-n03_fun_rev 1026 1013 1006 1008 1006
P01-01-F-n03_fun_fwd-n04_fun_rev 32 29 29 29 29
P01-01-F-n03_fun_fwd-n06_fun_rev 1 1 1 1 1
P01-01-F-n04_fun_fwd-n01_fun_rev 3 3 3 3 3
P01-01-F-n04_fun_fwd-n02_fun_rev 1 1 1 1 0
P01-01-F-n04_fun_fwd-n03_fun_rev 91 88 88 88 88
P01-01-F-n04_fun_fwd-n04_fun_rev 12734 12514 12500 12513 12500
P01-01-F-n04_fun_fwd-n05_fun_rev 34 33 33 33 33
P01-01-F-n04_fun_fwd-n06_fun_rev 1 1 1 1 1
P01-01-F-n05_fun_fwd-n02_fun_rev 1 1 1 1 1
P01-01-F-n05_fun_fwd-n04_fun_rev 30 29 29 29 29
P01-01-F-n05_fun_fwd-n05_fun_rev 1795 1762 1761 1761 1760
P01-01-F-n05_fun_fwd-n06_fun_rev 12 12 12 12 12
P01-01-F-n06_fun_fwd-n04_fun_rev 3 3 3 3 0
P01-01-F-n06_fun_fwd-n05_fun_rev 31 30 30 30 30
P01-01-F-n06_fun_fwd-n06_fun_rev 2685 2616 2607 2615 2607
P01-01-F-n06_fun_fwd-n07_fun_rev 9 9 9 9 9
P01-01-F-n07_fun_fwd-n06_fun_rev 3 3 3 3 2
P01-01-G-n02_fun_fwd-n03_fun_rev 3 3 3 3 2
P01-01-G-n03_fun_fwd-n01_fun_rev 1 1 1 1 1
P01-01-G-n03_fun_fwd-n02_fun_rev 6 6 6 6 6
P01-01-G-n03_fun_fwd-n03_fun_rev 789 774 773 742 741
P01-01-G-n03_fun_fwd-n04_fun_rev 2 2 1 1 0
P01-01-G-n04_fun_fwd-n03_fun_rev 2 2 2 2 2
P01-01-G-n04_fun_fwd-n04_fun_rev 427 423 423 416 416
P01-01-G-n04_fun_fwd-n05_fun_rev 7 7 6 6 6
P01-01-G-n05_fun_fwd-n01_fun_rev 1 0 NA NA NA
P01-01-G-n05_fun_fwd-n04_fun_rev 9 8 7 7 6
P01-01-G-n05_fun_fwd-n05_fun_rev 610 593 589 589 498
P01-01-G-n05_fun_fwd-n06_fun_rev 3 3 3 3 3
P01-01-G-n06_fun_fwd-n05_fun_rev 2 2 2 2 2
P01-01-G-n06_fun_fwd-n06_fun_rev 278 272 271 258 249
P01-01-H-n02_fun_fwd-n03_fun_rev 5 5 3 4 3
P01-01-H-n02_fun_fwd-n04_fun_rev 1 1 1 1 1
P01-01-H-n03_fun_fwd-n02_fun_rev 4 2 2 2 0
P01-01-H-n03_fun_fwd-n03_fun_rev 790 774 774 748 748
P01-01-H-n03_fun_fwd-n04_fun_rev 4 4 4 4 0
P01-01-H-n04_fun_fwd-n03_fun_rev 1 1 1 1 1
P01-01-H-n04_fun_fwd-n04_fun_rev 510 493 493 455 455
P01-01-H-n04_fun_fwd-n05_fun_rev 5 4 4 4 4
P01-01-H-n04_fun_fwd-n06_fun_rev 1 0 NA NA NA
P01-01-H-n05_fun_fwd-n04_fun_rev 6 5 5 5 5
P01-01-H-n05_fun_fwd-n05_fun_rev 535 516 515 508 488
P01-01-H-n05_fun_fwd-n06_fun_rev 3 3 3 3 3
P01-01-H-n06_fun_fwd-n05_fun_rev 5 5 2 5 0
P01-01-H-n06_fun_fwd-n06_fun_rev 153 145 145 135 130
P01-01-H-n07_fun_fwd-n06_fun_rev 1 1 1 1 1
P01-02-A-n03_fun_fwd-n03_fun_rev 3 2 2 2 2
P01-02-A-n04_fun_fwd-n04_fun_rev 1 1 1 1 1
P01-02-A-n05_fun_fwd-n05_fun_rev 1 1 1 1 0
P01-02-B-n04_fun_fwd-n04_fun_rev 3 1 1 1 1
P01-02-B-n05_fun_fwd-n05_fun_rev 3 2 2 2 2
P01-02-C-n03_fun_fwd-n03_fun_rev 1 1 1 1 1
P01-02-C-n04_fun_fwd-n04_fun_rev 1 1 1 1 1
P01-02-C-n05_fun_fwd-n05_fun_rev 2 2 2 2 1
P01-02-D-n03_fun_fwd-n03_fun_rev 1 1 1 1 0
P01-02-D-n04_fun_fwd-n04_fun_rev 1 1 1 1 1
