sample input filtered denoised.fwd denoised.rev merged
P01-01-E-n09_gi_fwd-n09_gi_rev 670 660 660 659 659
P01-01-E-n10_gi_fwd-n09_gi_rev 3 3 3 3 3
P01-01-F-n04_gi_fwd-n07_gi_rev 2 2 2 2 2
P01-01-F-n05_gi_fwd-n06_gi_rev 12 12 12 12 12
P01-01-F-n05_gi_fwd-n07_gi_rev 13 12 12 12 12
P01-01-F-n06_gi_fwd-n06_gi_rev 289 284 284 284 284
P01-01-F-n06_gi_fwd-n07_gi_rev 204 200 200 200 150
P01-01-F-n06_gi_fwd-n08_gi_rev 4 4 4 4 4
P01-01-F-n07_gi_fwd-n06_gi_rev 3 2 2 2 2
P01-01-F-n07_gi_fwd-n07_gi_rev 1313 1297 1297 1297 1034
P01-01-F-n07_gi_fwd-n08_gi_rev 38 37 37 37 37
P01-01-F-n07_gi_fwd-n09_gi_rev 3 3 3 3 3
P01-01-F-n08_gi_fwd-n04_gi_rev 1 0 NA NA NA
P01-01-F-n08_gi_fwd-n07_gi_rev 23 23 23 23 23
P01-01-F-n08_gi_fwd-n08_gi_rev 1123 1105 1105 1105 1105
P01-01-F-n08_gi_fwd-n09_gi_rev 23 23 23 23 23
P01-01-F-n09_gi_fwd-n06_gi_rev 1 1 1 1 1
P01-01-F-n09_gi_fwd-n07_gi_rev 2 2 2 2 1
P01-01-F-n09_gi_fwd-n08_gi_rev 23 23 23 23 23
P01-01-F-n09_gi_fwd-n09_gi_rev 643 636 636 636 636
P01-01-F-n09_gi_fwd-n10_gi_rev 1 1 1 1 1
P01-01-F-n10_gi_fwd-n09_gi_rev 2 2 2 2 2
P01-01-G-n04_gi_fwd-n08_gi_rev 1 1 1 1 1
P01-01-G-n05_gi_fwd-n06_gi_rev 12 11 11 11 11
P01-01-G-n06_gi_fwd-n06_gi_rev 274 270 270 270 270
P01-01-G-n06_gi_fwd-n07_gi_rev 7 7 7 7 7
P01-01-G-n06_gi_fwd-n08_gi_rev 1 1 1 1 1
P01-01-G-n06_gi_fwd-n09_gi_rev 1 1 1 1 1
P01-01-G-n07_gi_fwd-n06_gi_rev 2 2 2 2 2
P01-01-G-n07_gi_fwd-n07_gi_rev 23 23 23 23 23
P01-01-G-n07_gi_fwd-n08_gi_rev 7 7 7 7 7
P01-01-G-n08_gi_fwd-n07_gi_rev 2 2 2 2 2
P01-01-G-n08_gi_fwd-n08_gi_rev 212 211 211 211 211
P01-01-G-n08_gi_fwd-n09_gi_rev 3 3 3 3 3
P01-01-G-n09_gi_fwd-n08_gi_rev 2 2 2 2 2
P01-01-G-n09_gi_fwd-n09_gi_rev 65 63 63 63 63
P01-01-H-n04_gi_fwd-n06_gi_rev 1 1 1 1 1
P01-01-H-n05_gi_fwd-n06_gi_rev 7 6 6 6 6
P01-01-H-n05_gi_fwd-n07_gi_rev 1 1 1 1 1
P01-01-H-n06_gi_fwd-n06_gi_rev 315 311 311 311 311
P01-01-H-n06_gi_fwd-n07_gi_rev 27 27 27 27 17
P01-01-H-n06_gi_fwd-n08_gi_rev 2 2 2 2 2
P01-01-H-n07_gi_fwd-n05_gi_rev 1 1 1 1 1
