Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	per_tile_sequence_quality
P01-01-F-n10_gi_fwd-n09_gi_rev-rc-R1	P01-01-F-n10_gi_fwd-n09_gi_rev-rc-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2.0	0.0	219.0	47.0	100.0	219.0	pass	pass	pass	fail	pass	pass	pass	pass	fail	pass	
P01-01-G-n02_fun_fwd-n03_fun_rev-rc-R1	P01-01-G-n02_fun_fwd-n03_fun_rev-rc-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3.0	0.0	224.0	60.0	66.66666666666666	224.0	pass	pass	pass	fail	fail	pass	pass	warn	fail	pass	
P01-01-G-n03_fun_fwd-n01_fun_rev-rc-R1	P01-01-G-n03_fun_fwd-n01_fun_rev-rc-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1.0	0.0	223.0	59.0	100.0	223.0	pass	pass	pass	fail	pass	pass	pass	pass	fail	pass	
P01-01-G-n03_fun_fwd-n02_fun_rev-rc-R1	P01-01-G-n03_fun_fwd-n02_fun_rev-rc-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6.0	0.0	223.0	59.0	50.0	223.0	pass	pass	pass	fail	warn	pass	pass	warn	fail	pass	
P01-01-G-n03_fun_fwd-n03_fun_rev-rc-R1	P01-01-G-n03_fun_fwd-n03_fun_rev-rc-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	774.0	0.0	223.0	59.0	11.24031007751938	223.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass	pass
P01-01-G-n03_fun_fwd-n04_fun_rev-rc-R1	P01-01-G-n03_fun_fwd-n04_fun_rev-rc-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2.0	0.0	223.0	58.0	100.0	223.0	pass	pass	pass	fail	pass	pass	pass	pass	fail	pass	
P01-01-G-n04_fun_fwd-n03_fun_rev-rc-R1	P01-01-G-n04_fun_fwd-n03_fun_rev-rc-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2.0	0.0	222.0	60.0	100.0	222.0	pass	pass	pass	fail	fail	pass	pass	pass	fail	pass	
P01-01-G-n04_fun_fwd-n04_fun_rev-rc-R1	P01-01-G-n04_fun_fwd-n04_fun_rev-rc-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	423.0	0.0	25-222	60.0	10.401891252955082	220.54137115839242	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	pass
P01-01-G-n04_fun_fwd-n05_fun_rev-rc-R1	P01-01-G-n04_fun_fwd-n05_fun_rev-rc-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7.0	0.0	222.0	60.0	57.14285714285714	222.0	pass	pass	pass	fail	fail	pass	pass	warn	fail	pass	
P01-01-G-n04_gi_fwd-n08_gi_rev-rc-R1	P01-01-G-n04_gi_fwd-n08_gi_rev-rc-R1.fq.gz	Conventional base calls	Illumina 1.5	1.0	0.0	225.0	47.0	100.0	225.0	pass	pass	fail	fail	pass	pass	pass	pass	fail	pass	
P01-01-G-n05_fun_fwd-n04_fun_rev-rc-R1	P01-01-G-n05_fun_fwd-n04_fun_rev-rc-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8.0	0.0	221.0	60.0	50.0	221.0	pass	pass	pass	fail	fail	pass	pass	warn	fail	pass	
P01-01-G-n05_fun_fwd-n05_fun_rev-rc-R1	P01-01-G-n05_fun_fwd-n05_fun_rev-rc-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	593.0	0.0	221.0	59.0	14.839797639123104	221.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass	pass
P01-01-G-n05_fun_fwd-n06_fun_rev-rc-R1	P01-01-G-n05_fun_fwd-n06_fun_rev-rc-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3.0	0.0	221.0	59.0	100.0	221.0	pass	pass	pass	fail	fail	pass	pass	pass	fail	pass	
P01-01-G-n05_gi_fwd-n06_gi_rev-rc-R1	P01-01-G-n05_gi_fwd-n06_gi_rev-rc-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11.0	0.0	224.0	46.0	45.45454545454545	224.0	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass	pass
P01-01-G-n06_fun_fwd-n05_fun_rev-rc-R1	P01-01-G-n06_fun_fwd-n05_fun_rev-rc-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2.0	0.0	220.0	60.0	100.0	220.0	pass	pass	pass	fail	fail	pass	pass	pass	fail	pass	
P01-01-G-n06_fun_fwd-n06_fun_rev-rc-R1	P01-01-G-n06_fun_fwd-n06_fun_rev-rc-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	272.0	0.0	220.0	60.0	18.38235294117647	220.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass	pass
P01-01-G-n06_gi_fwd-n06_gi_rev-rc-R1	P01-01-G-n06_gi_fwd-n06_gi_rev-rc-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	270.0	0.0	223.0	47.0	12.222222222222221	223.0	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass	pass
P01-01-G-n06_gi_fwd-n07_gi_rev-rc-R1	P01-01-G-n06_gi_fwd-n07_gi_rev-rc-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7.0	0.0	223.0	47.0	28.57142857142857	223.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass	
P01-01-G-n06_gi_fwd-n08_gi_rev-rc-R1	P01-01-G-n06_gi_fwd-n08_gi_rev-rc-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1.0	0.0	223.0	47.0	100.0	223.0	pass	pass	pass	fail	pass	pass	pass	pass	fail	pass	
P01-01-G-n06_gi_fwd-n09_gi_rev-rc-R1	P01-01-G-n06_gi_fwd-n09_gi_rev-rc-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1.0	0.0	223.0	46.0	100.0	223.0	pass	pass	pass	fail	pass	pass	pass	pass	fail	pass	
P01-01-G-n07_gi_fwd-n06_gi_rev-rc-R1	P01-01-G-n07_gi_fwd-n06_gi_rev-rc-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2.0	0.0	222.0	47.0	50.0	222.0	pass	pass	pass	fail	fail	pass	pass	warn	fail	pass	
P01-01-G-n07_gi_fwd-n07_gi_rev-rc-R1	P01-01-G-n07_gi_fwd-n07_gi_rev-rc-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23.0	0.0	222.0	46.0	13.043478260869565	222.0	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass	pass
P01-01-G-n07_gi_fwd-n08_gi_rev-rc-R1	P01-01-G-n07_gi_fwd-n08_gi_rev-rc-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7.0	0.0	222.0	47.0	57.14285714285714	222.0	pass	pass	pass	fail	fail	pass	pass	warn	fail	pass	
P01-01-G-n08_gi_fwd-n07_gi_rev-rc-R1	P01-01-G-n08_gi_fwd-n07_gi_rev-rc-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2.0	0.0	221.0	47.0	100.0	221.0	pass	pass	pass	fail	pass	pass	pass	pass	fail	pass	
P01-01-G-n08_gi_fwd-n08_gi_rev-rc-R1	P01-01-G-n08_gi_fwd-n08_gi_rev-rc-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	211.0	0.0	221.0	46.0	13.744075829383887	221.0	pass	pass	pass	fail	pass	pass	pass	fail	fail	pass	pass
P01-01-G-n08_gi_fwd-n09_gi_rev-rc-R1	P01-01-G-n08_gi_fwd-n09_gi_rev-rc-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3.0	0.0	221.0	47.0	66.66666666666666	221.0	pass	pass	pass	fail	fail	pass	pass	warn	fail	pass	
P01-01-G-n09_gi_fwd-n08_gi_rev-rc-R1	P01-01-G-n09_gi_fwd-n08_gi_rev-rc-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2.0	0.0	220.0	45.0	100.0	220.0	pass	pass	pass	fail	pass	pass	pass	pass	fail	pass	
P01-01-G-n09_gi_fwd-n09_gi_rev-rc-R1	P01-01-G-n09_gi_fwd-n09_gi_rev-rc-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	63.0	0.0	220.0	47.0	33.33333333333333	220.0	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass	pass
P01-01-H-n02_fun_fwd-n03_fun_rev-rc-R1	P01-01-H-n02_fun_fwd-n03_fun_rev-rc-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5.0	0.0	224.0	60.0	60.0	224.0	pass	pass	pass	fail	fail	pass	pass	warn	fail	pass	
