Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
P01-01-A-n01_fun_fwd-n05_fun_rev-rc-R1	0.0	60.0	225.0	20.0	1.0
P01-01-A-n02_fun_fwd-n04_fun_rev-rc-R1	0.0	59.0	224.0	30.0	3.0
P01-01-A-n03_fun_fwd-n02_fun_rev-rc-R1	0.0	60.0	223.0	20.0	2.0
P01-01-A-n03_fun_fwd-n03_fun_rev-rc-R1	83.55437665782493	59.0	223.0	27.27272727272727	377.0
P01-01-A-n03_fun_fwd-n04_fun_rev-rc-R1	66.66666666666667	59.0	223.0	40.0	9.0
P01-01-A-n03_fun_fwd-n05_fun_rev-rc-R1	0.0	59.0	223.0	20.0	1.0
P01-01-A-n04_fun_fwd-n02_fun_rev-rc-R1	0.0	60.0	222.0	30.0	2.0
P01-01-A-n04_fun_fwd-n03_fun_rev-rc-R1	78.26086956521739	60.0	222.0	27.27272727272727	23.0
P01-01-A-n04_fun_fwd-n04_fun_rev-rc-R1	95.97921225382932	60.0	222.0	36.36363636363637	3656.0
P01-01-A-n04_fun_fwd-n05_fun_rev-rc-R1	86.66666666666667	60.0	222.0	27.27272727272727	15.0
P01-01-A-n04_fun_fwd-n06_fun_rev-rc-R1	50.0	60.0	222.0	30.0	2.0
P01-01-A-n04_gi_fwd-n06_gi_rev-rc-R1	0.0	46.0	225.0	20.0	1.0
P01-01-A-n04_gi_fwd-n07_gi_rev-rc-R1	50.0	46.0	225.0	30.0	2.0
P01-01-A-n05_fun_fwd-n01_fun_rev-rc-R1	0.0	60.0	221.0	20.0	1.0
P01-01-A-n05_fun_fwd-n03_fun_rev-rc-R1	50.0	59.0	221.0	30.0	2.0
P01-01-A-n05_fun_fwd-n04_fun_rev-rc-R1	52.17391304347826	60.0	221.0	27.27272727272727	23.0
P01-01-A-n05_fun_fwd-n05_fun_rev-rc-R1	93.55251921434672	60.0	221.0	27.27272727272727	2342.0
P01-01-A-n05_fun_fwd-n06_fun_rev-rc-R1	33.33333333333334	60.0	221.0	30.0	9.0
P01-01-A-n05_fun_fwd-n07_fun_rev-rc-R1	0.0	59.0	221.0	20.0	1.0
P01-01-A-n05_gi_fwd-n06_gi_rev-rc-R1	78.57142857142857	46.0	224.0	27.27272727272727	28.0
P01-01-A-n05_gi_fwd-n07_gi_rev-rc-R1	33.33333333333334	46.0	224.0	30.0	6.0
P01-01-A-n06_fun_fwd-n02_fun_rev-rc-R1	0.0	59.0	220.0	20.0	1.0
P01-01-A-n06_fun_fwd-n03_fun_rev-rc-R1	0.0	59.0	220.0	30.0	2.0
P01-01-A-n06_fun_fwd-n04_fun_rev-rc-R1	0.0	60.0	220.0	30.0	1.0
P01-01-A-n06_fun_fwd-n05_fun_rev-rc-R1	50.0	60.0	220.0	18.181818181818183	28.0
P01-01-A-n06_fun_fwd-n06_fun_rev-rc-R1	91.44796380090497	60.0	220.0	36.36363636363637	2210.0
P01-01-A-n06_fun_fwd-n07_fun_rev-rc-R1	75.0	60.0	220.0	30.0	4.0
P01-01-A-n06_gi_fwd-n04_gi_rev-rc-R1	0.0	47.0	223.0	20.0	1.0
P01-01-A-n06_gi_fwd-n06_gi_rev-rc-R1	91.28738621586476	47.0	223.0	27.27272727272727	769.0
P01-01-A-n06_gi_fwd-n07_gi_rev-rc-R1	78.66666666666666	47.0	223.0	27.27272727272727	150.0
P01-01-A-n06_gi_fwd-n08_gi_rev-rc-R1	50.0	47.0	223.0	30.0	4.0
P01-01-A-n07_fun_fwd-n06_fun_rev-rc-R1	0.0	60.0	219.0	20.0	1.0
P01-01-A-n07_gi_fwd-n06_gi_rev-rc-R1	0.0	47.0	222.0	30.0	3.0
P01-01-A-n07_gi_fwd-n07_gi_rev-rc-R1	91.1664779161948	47.0	222.0	27.27272727272727	883.0
P01-01-A-n07_gi_fwd-n08_gi_rev-rc-R1	83.33333333333334	47.0	222.0	27.27272727272727	42.0
P01-01-A-n08_fun_fwd-n05_fun_rev-rc-R1	0.0	61.0	218.0	20.0	1.0
P01-01-A-n08_gi_fwd-n07_gi_rev-rc-R1	40.0	46.0	221.0	18.181818181818183	10.0
P01-01-A-n08_gi_fwd-n08_gi_rev-rc-R1	89.54501452081317	46.0	221.0	27.27272727272727	1033.0
P01-01-A-n08_gi_fwd-n09_gi_rev-rc-R1	61.11111111111111	47.0	221.0	27.27272727272727	18.0
P01-01-A-n09_gi_fwd-n08_gi_rev-rc-R1	36.36363636363637	46.0	220.0	18.181818181818183	11.0
P01-01-A-n09_gi_fwd-n09_gi_rev-rc-R1	80.63725490196079	47.0	220.0	27.27272727272727	408.0
P01-01-A-n09_gi_fwd-n10_gi_rev-rc-R1	0.0	46.0	220.0	30.0	2.0
P01-01-A-n10_gi_fwd-n09_gi_rev-rc-R1	0.0	47.0	219.0	30.0	3.0
P01-01-B-n02_fun_fwd-n03_fun_rev-rc-R1	0.0	60.0	224.0	30.0	2.0
P01-01-B-n02_fun_fwd-n04_fun_rev-rc-R1	0.0	60.0	224.0	20.0	1.0
P01-01-B-n03_fun_fwd-n03_fun_rev-rc-R1	72.47706422018348	59.0	223.0	27.27272727272727	109.0
P01-01-B-n03_fun_fwd-n04_fun_rev-rc-R1	33.33333333333334	60.0	223.0	30.0	6.0
P01-01-B-n03_fun_fwd-n06_fun_rev-rc-R1	50.0	60.0	223.0	30.0	2.0
P01-01-B-n04_fun_fwd-n03_fun_rev-rc-R1	57.142857142857146	60.0	222.0	40.0	7.0
P01-01-B-n04_fun_fwd-n04_fun_rev-rc-R1	94.67483506126295	60.0	222.0	36.36363636363637	2122.0
P01-01-B-n04_fun_fwd-n05_fun_rev-rc-R1	66.66666666666667	60.0	222.0	40.0	6.0
P01-01-B-n05_fun_fwd-n02_fun_rev-rc-R1	0.0	60.0	221.0	20.0	1.0
P01-01-B-n05_fun_fwd-n03_fun_rev-rc-R1	0.0	60.0	221.0	20.0	1.0
P01-01-B-n05_fun_fwd-n04_fun_rev-rc-R1	57.142857142857146	60.0	221.0	40.0	7.0
P01-01-B-n05_fun_fwd-n05_fun_rev-rc-R1	86.19402985074626	60.0	221.0	27.27272727272727	536.0
P01-01-B-n05_fun_fwd-n06_fun_rev-rc-R1	92.85714285714286	60.0	221.0	36.36363636363637	14.0
P01-01-B-n05_gi_fwd-n06_gi_rev-rc-R1	78.26086956521739	46.0	224.0	27.27272727272727	23.0
P01-01-B-n05_gi_fwd-n07_gi_rev-rc-R1	50.0	47.0	224.0	20.0	6.0
P01-01-B-n06_fun_fwd-n04_fun_rev-rc-R1	0.0	60.0	220.0	20.0	1.0
P01-01-B-n06_fun_fwd-n05_fun_rev-rc-R1	68.0	60.0	220.0	36.36363636363637	50.0
P01-01-B-n06_fun_fwd-n06_fun_rev-rc-R1	94.18043202033037	60.0	220.0	36.36363636363637	3935.0
P01-01-B-n06_fun_fwd-n07_fun_rev-rc-R1	60.0	60.0	220.0	30.0	5.0
P01-01-B-n06_fun_fwd-n08_fun_rev-rc-R1	0.0	60.0	220.0	20.0	1.0
P01-01-B-n06_gi_fwd-n05_gi_rev-rc-R1	50.0	47.0	223.0	30.0	2.0
P01-01-B-n06_gi_fwd-n06_gi_rev-rc-R1	89.02195608782435	47.0	223.0	27.27272727272727	501.0
P01-01-B-n06_gi_fwd-n07_gi_rev-rc-R1	80.45112781954887	47.0	223.0	27.27272727272727	133.0
P01-01-B-n07_fun_fwd-n06_fun_rev-rc-R1	0.0	60.0	219.0	30.0	3.0
P01-01-B-n07_gi_fwd-n06_gi_rev-rc-R1	33.33333333333334	46.0	222.0	30.0	3.0
P01-01-B-n07_gi_fwd-n07_gi_rev-rc-R1	91.61816065192085	47.0	222.0	27.27272727272727	859.0
P01-01-B-n07_gi_fwd-n08_gi_rev-rc-R1	75.0	47.0	222.0	40.0	4.0
P01-01-B-n08_gi_fwd-n07_gi_rev-rc-R1	62.5	46.0	221.0	40.0	8.0
P01-01-B-n08_gi_fwd-n08_gi_rev-rc-R1	83.78378378378378	47.0	221.0	27.27272727272727	74.0
P01-01-B-n08_gi_fwd-n09_gi_rev-rc-R1	52.94117647058824	46.0	221.0	27.27272727272727	17.0
P01-01-B-n09_gi_fwd-n07_gi_rev-rc-R1	0.0	47.0	220.0	20.0	1.0
P01-01-B-n09_gi_fwd-n08_gi_rev-rc-R1	42.10526315789473	47.0	220.0	18.181818181818183	19.0
P01-01-B-n09_gi_fwd-n09_gi_rev-rc-R1	81.3758389261745	47.0	220.0	27.27272727272727	596.0
P01-01-B-n09_gi_fwd-n10_gi_rev-rc-R1	0.0	47.0	220.0	20.0	1.0
P01-01-B-n10_gi_fwd-n09_gi_rev-rc-R1	0.0	47.0	219.0	30.0	3.0
P01-01-C-n01_fun_fwd-n03_fun_rev-rc-R1	0.0	60.0	225.0	20.0	1.0
P01-01-C-n01_fun_fwd-n05_fun_rev-rc-R1	0.0	59.0	225.0	20.0	1.0
P01-01-C-n02_fun_fwd-n03_fun_rev-rc-R1	50.0	60.0	224.0	30.0	4.0
P01-01-C-n02_fun_fwd-n04_fun_rev-rc-R1	0.0	60.0	224.0	30.0	2.0
P01-01-C-n03_fun_fwd-n02_fun_rev-rc-R1	44.44444444444444	60.0	223.0	20.0	9.0
P01-01-C-n03_fun_fwd-n03_fun_rev-rc-R1	91.17073170731707	59.0	223.0	27.27272727272727	2050.0
P01-01-C-n03_fun_fwd-n04_fun_rev-rc-R1	40.0	59.0	223.0	27.27272727272727	10.0
P01-01-C-n04_fun_fwd-n01_fun_rev-rc-R1	0.0	60.0	222.0	20.0	1.0
P01-01-C-n04_fun_fwd-n03_fun_rev-rc-R1	76.92307692307692	60.0	222.0	36.36363636363637	13.0
P01-01-C-n04_fun_fwd-n04_fun_rev-rc-R1	95.35077951002228	60.0	222.0	36.36363636363637	3592.0
P01-01-C-n04_fun_fwd-n05_fun_rev-rc-R1	77.77777777777777	60.0	222.0	27.27272727272727	18.0
P01-01-C-n04_fun_fwd-n06_fun_rev-rc-R1	0.0	60.0	222.0	20.0	1.0
P01-01-C-n04_gi_fwd-n06_gi_rev-rc-R1	0.0	47.0	225.0	30.0	2.0
P01-01-C-n05_fun_fwd-n03_fun_rev-rc-R1	0.0	60.0	221.0	20.0	1.0
P01-01-C-n05_fun_fwd-n04_fun_rev-rc-R1	86.84210526315789	60.0	221.0	36.36363636363637	38.0
P01-01-C-n05_fun_fwd-n05_fun_rev-rc-R1	94.18642416368951	60.0	221.0	27.27272727272727	3079.0
P01-01-C-n05_fun_fwd-n06_fun_rev-rc-R1	50.0	60.0	221.0	30.0	8.0
P01-01-C-n05_gi_fwd-n06_gi_rev-rc-R1	69.69696969696969	46.0	224.0	27.27272727272727	33.0
P01-01-C-n05_gi_fwd-n07_gi_rev-rc-R1	0.0	46.0	224.0	30.0	2.0
P01-01-C-n06_fun_fwd-n05_fun_rev-rc-R1	33.33333333333334	60.0	220.0	30.0	6.0
P01-01-C-n06_fun_fwd-n06_fun_rev-rc-R1	85.09316770186335	60.0	220.0	36.36363636363637	322.0
P01-01-C-n06_gi_fwd-n05_gi_rev-rc-R1	60.0	47.0	223.0	40.0	5.0
P01-01-C-n06_gi_fwd-n06_gi_rev-rc-R1	90.36827195467423	47.0	223.0	27.27272727272727	706.0
P01-01-C-n06_gi_fwd-n07_gi_rev-rc-R1	77.41935483870968	47.0	223.0	27.27272727272727	31.0
P01-01-C-n06_gi_fwd-n08_gi_rev-rc-R1	0.0	47.0	223.0	20.0	1.0
P01-01-C-n07_fun_fwd-n06_fun_rev-rc-R1	0.0	61.0	219.0	30.0	2.0
P01-01-C-n07_gi_fwd-n06_gi_rev-rc-R1	50.0	46.0	222.0	20.0	2.0
P01-01-C-n07_gi_fwd-n07_gi_rev-rc-R1	85.1063829787234	47.0	222.0	27.27272727272727	188.0
P01-01-C-n07_gi_fwd-n08_gi_rev-rc-R1	76.0	47.0	222.0	27.27272727272727	25.0
P01-01-C-n08_gi_fwd-n07_gi_rev-rc-R1	50.0	46.0	221.0	30.0	4.0
P01-01-C-n08_gi_fwd-n08_gi_rev-rc-R1	86.81318681318682	46.0	221.0	27.27272727272727	819.0
P01-01-C-n08_gi_fwd-n09_gi_rev-rc-R1	58.33333333333333	46.0	221.0	27.27272727272727	12.0
P01-01-C-n09_gi_fwd-n08_gi_rev-rc-R1	38.46153846153846	47.0	220.0	18.181818181818183	13.0
P01-01-C-n09_gi_fwd-n09_gi_rev-rc-R1	80.37383177570094	47.0	220.0	27.27272727272727	321.0
P01-01-C-n09_gi_fwd-n10_gi_rev-rc-R1	0.0	47.0	220.0	20.0	1.0
P01-01-C-n10_gi_fwd-n09_gi_rev-rc-R1	0.0	47.0	219.0	20.0	1.0
P01-01-D-n01_fun_fwd-n04_fun_rev-rc-R1	0.0	60.0	225.0	20.0	1.0
P01-01-D-n02_fun_fwd-n03_fun_rev-rc-R1	0.0	60.0	224.0	30.0	3.0
P01-01-D-n02_fun_fwd-n04_fun_rev-rc-R1	50.0	60.0	224.0	30.0	2.0
P01-01-D-n02_fun_fwd-n05_fun_rev-rc-R1	0.0	60.0	224.0	20.0	1.0
P01-01-D-n03_fun_fwd-n01_fun_rev-rc-R1	0.0	60.0	223.0	20.0	1.0
P01-01-D-n03_fun_fwd-n02_fun_rev-rc-R1	44.99999999999999	60.0	223.0	27.27272727272727	20.0
P01-01-D-n03_fun_fwd-n03_fun_rev-rc-R1	89.64479229379891	59.0	221.88260084286574	36.36363636363637	1661.0
P01-01-D-n03_fun_fwd-n04_fun_rev-rc-R1	70.58823529411765	59.0	223.0	36.36363636363637	34.0
P01-01-D-n04_fun_fwd-n01_fun_rev-rc-R1	0.0	60.0	222.0	30.0	1.0
P01-01-D-n04_fun_fwd-n02_fun_rev-rc-R1	66.66666666666667	60.0	222.0	40.0	3.0
P01-01-D-n04_fun_fwd-n03_fun_rev-rc-R1	76.47058823529412	60.0	222.0	36.36363636363637	51.0
P01-01-D-n04_fun_fwd-n04_fun_rev-rc-R1	97.01492537313433	60.0	222.0	36.36363636363637	6901.0
P01-01-D-n04_fun_fwd-n05_fun_rev-rc-R1	73.6842105263158	60.0	222.0	36.36363636363637	19.0
P01-01-D-n04_gi_fwd-n06_gi_rev-rc-R1	0.0	47.0	225.0	20.0	2.0
P01-01-D-n05_fun_fwd-n03_fun_rev-rc-R1	0.0	60.0	221.0	20.0	1.0
P01-01-D-n05_fun_fwd-n04_fun_rev-rc-R1	75.0	60.0	221.0	36.36363636363637	44.0
P01-01-D-n05_fun_fwd-n05_fun_rev-rc-R1	93.76443418013857	60.0	221.0	27.27272727272727	2598.0
P01-01-D-n05_fun_fwd-n06_fun_rev-rc-R1	80.0	60.0	221.0	36.36363636363637	10.0
