trim2 reads
P01-01-F-n03_fun_fwd-n02_fun_rev 5
P01-01-G-n08_gi_fwd-n09_gi_rev 3
P01-01-H-n05_fun_fwd-n05_fun_rev 535
P01-01-E-n05_fun_fwd-n06_fun_rev 8
P01-01-C-n08_gi_fwd-n07_gi_rev 4
P01-01-H-n06_gi_fwd-n08_gi_rev 2
P01-01-B-n06_gi_fwd-n05_fun_rev 1
P01-01-A-n05_gi_fwd-n06_gi_rev 29
P01-01-E-n04_fun_fwd-n04_fun_rev 5335
P01-01-D-n04_fun_fwd-n03_fun_rev 51
P01-01-A-n10_gi_fwd-n09_gi_rev 3
P01-01-A-n06_fun_fwd-n03_fun_rev 2
P01-01-D-n07_gi_fwd-n08_gi_rev 27
P01-01-F-n08_gi_fwd-n04_gi_rev 1
P01-01-E-n05_gi_fwd-n08_gi_rev 1
P01-01-D-n07_gi_fwd-n07_gi_rev 450
P01-01-F-n02_fun_fwd-n03_fun_rev 4
P01-01-H-n04_fun_fwd-n04_fun_rev 510
P01-02-D-n04_fun_fwd-n04_fun_rev 1
P01-01-E-n05_gi_fwd-n07_gi_rev 2
P01-01-E-n05_fun_fwd-n05_fun_rev 4347
P01-01-H-n05_fun_fwd-n06_fun_rev 3
P01-01-B-n06_gi_fwd-n06_fun_rev 3
P01-01-H-n06_gi_fwd-n07_gi_rev 27
P01-01-C-n08_gi_fwd-n08_gi_rev 830
P01-01-A-n05_fun_fwd-n06_fun_rev 9
P01-01-G-n09_gi_fwd-n09_gi_rev 65
P01-01-H-n07_gi_fwd-n08_gi_rev 6
P01-01-E-n06_gi_fwd-n05_gi_rev 2
P01-01-D-n06_gi_fwd-n08_gi_rev 3
P01-01-A-n04_gi_fwd-n06_gi_rev 1
P01-01-A-n04_fun_fwd-n04_fun_rev 3723
P01-01-D-n07_gi_fwd-n09_gi_rev 2
P01-02-D-n09_gi_fwd-n09_gi_rev 1
P01-01-D-n05_fun_fwd-n03_fun_rev 1
P01-01-A-n05_gi_fwd-n07_gi_rev 6
P01-01-E-n05_fun_fwd-n04_fun_rev 38
P01-01-G-n08_gi_fwd-n08_gi_rev 212
P01-01-B-n06_fun_fwd-n08_fun_rev 1
P01-01-C-n08_gi_fwd-n06_gi_rev 1
P01-01-H-n04_fun_fwd-n05_fun_rev 5
P01-01-D-n04_fun_fwd-n01_fun_rev 1
P01-01-D-n06_fun_fwd-n05_fun_rev 7
P01-01-C-n09_gi_fwd-n09_gi_rev 329
P01-01-A-n04_fun_fwd-n05_fun_rev 15
P01-01-D-n06_gi_fwd-n06_gi_rev 597
P01-01-A-n05_fun_fwd-n07_fun_rev 1
P01-01-F-n01_fun_fwd-n04_fun_rev 1
P01-01-B-n03_fun_fwd-n03_fun_rev 111
P01-01-C-n03_fun_fwd-n04_fun_rev 10
P01-01-A-n09_gi_fwd-n10_gi_rev 2
P01-02-B-n04_fun_fwd-n04_fun_rev 3
P01-01-F-n06_fun_fwd-n07_fun_rev 9
P01-01-A-n02_fun_fwd-n04_fun_rev 3
P01-01-B-n06_gi_fwd-n07_gi_rev 135
P01-01-E-n09_gi_fwd-n08_gi_rev 15
P01-01-C-n05_fun_fwd-n05_fun_rev 3157
P01-01-B-n05_fun_fwd-n02_fun_rev 1
P01-01-E-n03_fun_fwd-n05_fun_rev 1
P01-01-E-n08_gi_fwd-n07_gi_rev 8
P01-01-D-n03_fun_fwd-n02_fun_rev 20
P01-01-A-n08_gi_fwd-n09_gi_rev 19
P01-01-G-n05_fun_fwd-n06_fun_rev 3
P01-01-B-n07_fun_fwd-n06_fun_rev 3
P01-01-G-n04_fun_fwd-n04_fun_rev 427
P01-01-F-n04_fun_fwd-n03_fun_rev 91
P01-01-F-n07_gi_fwd-n06_gi_rev 3
P01-01-B-n06_fun_fwd-n04_fun_rev 1
P01-01-H-n02_fun_fwd-n04_fun_rev 1
P01-01-G-n05_gi_fwd-n06_gi_rev 12
P01-01-B-n07_gi_fwd-n08_gi_rev 4
P01-01-F-n06_gi_fwd-n07_gi_rev 204
P01-02-A-n03_fun_fwd-n03_fun_rev 3
P01-01-H-n08_gi_fwd-n04_fun_rev 1
P01-01-B-n05_fun_fwd-n03_fun_rev 1
P01-01-C-n05_fun_fwd-n04_fun_rev 39
P01-01-F-n06_fun_fwd-n06_fun_rev 2685
P01-01-C-n04_fun_fwd-n06_fun_rev 1
P01-01-A-n09_gi_fwd-n08_gi_rev 11
P01-01-B-n06_fun_fwd-n05_fun_rev 51
P01-01-E-n08_gi_fwd-n09_gi_rev 19
P01-01-F-n04_fun_fwd-n02_fun_rev 1
P01-01-G-n04_fun_fwd-n05_fun_rev 7
P01-01-A-n08_gi_fwd-n07_gi_rev 10
P01-01-C-n05_gi_fwd-n06_gi_rev 33
P01-01-C-n10_gi_fwd-n09_gi_rev 1
P01-01-D-n03_fun_fwd-n03_fun_rev 1705
P01-01-E-n03_fun_fwd-n04_fun_rev 16
P01-01-F-n07_gi_fwd-n08_gi_rev 38
P01-01-B-n09_gi_fwd-n04_fun_rev 1
P01-01-B-n07_gi_fwd-n06_gi_rev 3
P01-01-F-n07_gi_fwd-n07_gi_rev 1313
P01-01-G-n05_fun_fwd-n04_fun_rev 9
P01-01-H-n03_fun_fwd-n04_fun_rev 4
P01-01-B-n06_fun_fwd-n06_fun_rev 4052
P01-01-A-n08_gi_fwd-n08_gi_rev 1049
P01-01-F-n04_fun_fwd-n01_fun_rev 3
P01-01-E-n09_gi_fwd-n09_gi_rev 670
P01-01-F-n06_fun_fwd-n05_fun_rev 31
P01-01-C-n04_fun_fwd-n05_fun_rev 18
P01-01-F-n06_gi_fwd-n08_gi_rev 4
P01-01-C-n04_gi_fwd-n06_gi_rev 2
P01-01-D-n01_fun_fwd-n04_fun_rev 1
P01-01-B-n06_gi_fwd-n06_gi_rev 512
P01-01-E-n01_fun_fwd-n03_fun_rev 1
P01-01-G-n04_gi_fwd-n08_gi_rev 1
P01-01-A-n03_fun_fwd-n04_fun_rev 9
P01-01-E-n02_fun_fwd-n04_fun_rev 1
P01-01-F-n07_gi_fwd-n09_gi_rev 3
P01-01-D-n02_fun_fwd-n03_fun_rev 3
P01-01-C-n05_gi_fwd-n07_gi_rev 2
P01-01-B-n07_gi_fwd-n07_gi_rev 864
P01-01-B-n06_fun_fwd-n07_fun_rev 5
P01-01-D-n08_gi_fwd-n05_gi_rev 1
P01-01-G-n05_fun_fwd-n05_fun_rev 610
P01-01-F-n05_fun_fwd-n02_fun_rev 1
P01-01-E-n08_gi_fwd-n08_gi_rev 493
P01-02-A-n06_gi_fwd-n06_gi_rev 1
P01-01-D-n03_fun_fwd-n01_fun_rev 1
P01-01-C-n06_gi_fwd-n05_gi_rev 5
P01-02-B-n05_fun_fwd-n05_fun_rev 3
P01-01-C-n05_fun_fwd-n06_fun_rev 8
P01-01-F-n07_fun_fwd-n06_fun_rev 3
P01-01-E-n09_gi_fwd-n07_gi_rev 1
P01-01-A-n03_fun_fwd-n05_fun_rev 1
P01-01-A-n09_gi_fwd-n09_gi_rev 413
P01-01-F-n06_gi_fwd-n06_gi_rev 289
P01-01-C-n04_fun_fwd-n04_fun_rev 3654
P01-01-B-n06_gi_fwd-n08_gi_rev 1
P01-01-B-n04_fun_fwd-n03_fun_rev 7
P01-01-C-n09_gi_fwd-n10_gi_rev 1
P01-01-F-n06_fun_fwd-n04_fun_rev 3
P01-01-G-n07_gi_fwd-n07_gi_rev 23
P01-01-G-n06_fun_fwd-n05_fun_rev 2
P01-01-F-n05_gi_fwd-n07_gi_rev 13
P01-01-B-n04_fun_fwd-n05_fun_rev 6
P01-01-A-n03_fun_fwd-n03_fun_rev 389
P01-01-D-n09_gi_fwd-n09_gi_rev 74
P01-01-F-n05_fun_fwd-n04_fun_rev 30
P01-01-H-n03_fun_fwd-n03_fun_rev 790
P01-02-D-n03_fun_fwd-n03_fun_rev 1
