trim1 reads
P01-01-H-n10_gi_fwd 1
P01-02-A-n05_fun_fwd 1
P01-01-F-n06_fun_fwd 2799
P01-02-B-n05_gi_fwd 1
P01-01-C-n06_gi_fwd 773
P01-01-G-n03_fun_fwd 813
P01-01-D-n06_gi_fwd 687
P01-01-G-n04_gi_fwd 1
P01-01-F-n07_fun_fwd 3
P01-02-A-n04_fun_fwd 1
P01-01-F-n10_gi_fwd 2
P01-01-C-n08_gi_fwd 920
P01-01-A-n01_fun_fwd 1
P01-01-G-n02_fun_fwd 3
P01-01-D-n08_gi_fwd 732
P01-01-A-n10_gi_fwd 3
P01-01-D-n07_gi_fwd 504
P01-01-G-n05_gi_fwd 14
P01-01-A-n02_fun_fwd 3
P01-02-A-n06_gi_fwd 74
P01-01-C-n07_gi_fwd 236
P01-01-F-n04_fun_fwd 13031
P01-01-D-n09_gi_fwd 83
P01-01-A-n03_fun_fwd 412
P01-02-A-n08_gi_fwd 2
P01-01-F-n05_fun_fwd 1878
P01-01-C-n09_gi_fwd 357
P01-01-G-n08_gi_fwd 328
P01-01-F-n03_fun_fwd 1083
P01-01-B-n10_gi_fwd 4
P01-01-A-n05_fun_fwd 2456
P01-01-G-n06_fun_fwd 308
P01-01-E-n10_gi_fwd 3
P01-01-F-n02_fun_fwd 5
P01-01-G-n06_gi_fwd 336
P01-01-D-n04_gi_fwd 2
P01-01-C-n04_gi_fwd 2
P01-02-B-n07_gi_fwd 22
P01-02-A-n05_gi_fwd 1
P01-01-A-n04_fun_fwd 3824
P01-01-A-n07_fun_fwd 1
P01-01-G-n04_fun_fwd 446
P01-01-G-n09_gi_fwd 122
P01-01-F-n01_fun_fwd 2
P01-02-B-n06_gi_fwd 5
P01-01-C-n05_gi_fwd 36
P01-01-G-n05_fun_fwd 648
P01-01-A-n06_fun_fwd 2369
P01-01-G-n07_gi_fwd 53
P01-01-D-n05_gi_fwd 26
P01-02-A-n03_fun_fwd 10
P01-01-B-n09_gi_fwd 660
P01-01-E-n02_fun_fwd 10
P01-01-C-n01_fun_fwd 2
P01-02-C-n04_fun_fwd 1
P01-01-E-n09_gi_fwd 796
P01-01-B-n04_fun_fwd 2212
P01-01-H-n05_gi_fwd 9
P01-01-A-n05_gi_fwd 38
P01-01-E-n03_fun_fwd 2854
P01-02-D-n03_fun_fwd 1
P01-01-B-n07_gi_fwd 938
P01-01-E-n07_gi_fwd 658
P01-01-F-n05_gi_fwd 25
P01-01-B-n05_fun_fwd 585
P01-01-D-n06_fun_fwd 199
P01-02-C-n05_fun_fwd 11
P01-01-D-n05_fun_fwd 2768
P01-01-B-n06_fun_fwd 4215
P01-01-H-n03_fun_fwd 812
P01-01-H-n04_gi_fwd 1
P01-01-E-n08_gi_fwd 565
P01-01-A-n08_fun_fwd 1
P01-01-C-n03_fun_fwd 2150
P01-01-B-n08_gi_fwd 120
P01-01-E-n06_gi_fwd 302
P01-01-F-n04_gi_fwd 2
P01-01-H-n02_fun_fwd 6
P01-01-B-n07_fun_fwd 3
P01-01-D-n04_fun_fwd 7221
P01-01-C-n02_fun_fwd 6
P01-01-E-n01_fun_fwd 1
P01-01-A-n04_gi_fwd 3
P01-01-B-n06_gi_fwd 681
P01-01-F-n07_gi_fwd 1408
P01-01-E-n05_gi_fwd 14
P01-01-C-n04_fun_fwd 3738
P01-01-H-n09_gi_fwd 231
P01-02-B-n04_fun_fwd 3
P01-01-B-n05_gi_fwd 30
P01-01-A-n07_gi_fwd 963
P01-01-D-n02_fun_fwd 7
P01-01-H-n04_fun_fwd 527
P01-02-B-n05_fun_fwd 3
P01-01-F-n09_gi_fwd 750
P01-02-D-n06_fun_fwd 11
P01-01-E-n06_fun_fwd 382
P01-01-C-n05_fun_fwd 3250
P01-02-D-n08_gi_fwd 1
P01-01-H-n07_gi_fwd 204
P01-02-C-n08_gi_fwd 155
P01-01-A-n09_gi_fwd 464
P01-01-H-n05_fun_fwd 567
P01-01-D-n03_fun_fwd 1797
P01-01-H-n06_fun_fwd 215
P01-02-C-n03_fun_fwd 1
P01-01-B-n03_fun_fwd 123
P01-02-C-n07_gi_fwd 1
P01-01-A-n06_gi_fwd 978
P01-01-H-n08_gi_fwd 311
P01-01-F-n06_gi_fwd 507
P01-02-D-n05_fun_fwd 1
P01-01-C-n06_fun_fwd 356
P01-02-D-n07_gi_fwd 1
P01-01-E-n05_fun_fwd 4462
P01-01-E-n04_gi_fwd 2
P01-01-D-n10_gi_fwd 1
P01-01-D-n01_fun_fwd 1
P01-01-B-n02_fun_fwd 3
P01-01-H-n07_fun_fwd 1
P01-01-A-n08_gi_fwd 1155
P01-01-H-n06_gi_fwd 404
P01-01-E-n04_fun_fwd 5466
P01-01-C-n07_fun_fwd 2
P01-02-D-n04_fun_fwd 1
P01-01-F-n08_gi_fwd 1330
P01-01-C-n10_gi_fwd 1
P01-02-D-n09_gi_fwd 31
