Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
P01-01-A-n01_fun_fwd-R1	0.0	60.0	225.0	20.0	1.0
P01-01-A-n02_fun_fwd-R1	0.0	59.0	224.0	30.0	3.0
P01-01-A-n03_fun_fwd-R1	83.25242718446601	59.0	223.0	36.36363636363637	412.0
P01-01-A-n04_fun_fwd-R1	95.94665271966527	60.0	222.0	36.36363636363637	3824.0
P01-01-A-n04_gi_fwd-R1	33.33333333333334	46.0	225.0	30.0	3.0
P01-01-A-n05_fun_fwd-R1	93.60749185667753	60.0	221.0	36.36363636363637	2456.0
P01-01-A-n05_gi_fwd-R1	73.6842105263158	45.0	224.0	36.36363636363637	38.0
P01-01-A-n06_fun_fwd-R1	90.8400168847615	60.0	220.0	36.36363636363637	2369.0
P01-01-A-n06_gi_fwd-R1	90.08179959100204	47.0	223.0	36.36363636363637	978.0
P01-01-A-n07_fun_fwd-R1	0.0	60.0	219.0	20.0	1.0
P01-01-A-n07_gi_fwd-R1	90.65420560747664	46.0	222.0	36.36363636363637	963.0
P01-01-A-n08_fun_fwd-R1	0.0	61.0	218.0	20.0	1.0
P01-01-A-n08_gi_fwd-R1	87.53246753246754	46.0	221.0	36.36363636363637	1155.0
P01-01-A-n09_gi_fwd-R1	78.01724137931035	46.0	220.0	36.36363636363637	464.0
P01-01-A-n10_gi_fwd-R1	0.0	47.0	219.0	30.0	3.0
P01-01-B-n02_fun_fwd-R1	33.33333333333334	60.0	224.0	30.0	3.0
P01-01-B-n03_fun_fwd-R1	73.17073170731707	59.0	223.0	36.36363636363637	123.0
P01-01-B-n04_fun_fwd-R1	94.30379746835443	60.0	222.0	36.36363636363637	2212.0
P01-01-B-n05_fun_fwd-R1	85.81196581196582	59.0	221.0	36.36363636363637	585.0
P01-01-B-n05_gi_fwd-R1	76.66666666666667	46.0	224.0	27.27272727272727	30.0
P01-01-B-n06_fun_fwd-R1	93.80782918149467	60.0	220.0	36.36363636363637	4215.0
P01-01-B-n06_gi_fwd-R1	88.39941262848751	47.0	223.0	36.36363636363637	681.0
P01-01-B-n07_fun_fwd-R1	0.0	60.0	219.0	30.0	3.0
P01-01-B-n07_gi_fwd-R1	90.29850746268657	46.0	222.0	36.36363636363637	938.0
P01-01-B-n08_gi_fwd-R1	77.5	45.0	221.0	36.36363636363637	120.0
P01-01-B-n09_gi_fwd-R1	80.15151515151516	47.0	220.0	36.36363636363637	660.0
P01-01-B-n10_gi_fwd-R1	25.0	47.0	219.0	30.0	4.0
P01-01-C-n01_fun_fwd-R1	50.0	59.0	225.0	30.0	2.0
P01-01-C-n02_fun_fwd-R1	33.33333333333334	60.0	224.0	30.0	6.0
P01-01-C-n03_fun_fwd-R1	90.6046511627907	59.0	223.0	36.36363636363637	2150.0
P01-01-C-n04_fun_fwd-R1	95.21134296415195	60.0	222.0	36.36363636363637	3738.0
P01-01-C-n04_gi_fwd-R1	0.0	47.0	225.0	30.0	2.0
P01-01-C-n05_fun_fwd-R1	94.0	60.0	221.0	27.27272727272727	3250.0
P01-01-C-n05_gi_fwd-R1	69.44444444444444	46.0	224.0	27.27272727272727	36.0
P01-01-C-n06_fun_fwd-R1	84.26966292134831	59.0	220.0	36.36363636363637	356.0
P01-01-C-n06_gi_fwd-R1	90.16817593790427	47.0	223.0	36.36363636363637	773.0
P01-01-C-n07_fun_fwd-R1	0.0	61.0	219.0	30.0	2.0
P01-01-C-n07_gi_fwd-R1	81.35593220338983	46.0	222.0	36.36363636363637	236.0
P01-01-C-n08_gi_fwd-R1	85.21739130434783	46.0	221.0	36.36363636363637	920.0
P01-01-C-n09_gi_fwd-R1	78.71148459383754	47.0	220.0	36.36363636363637	357.0
P01-01-C-n10_gi_fwd-R1	0.0	47.0	219.0	20.0	1.0
P01-01-D-n01_fun_fwd-R1	0.0	60.0	225.0	20.0	1.0
P01-01-D-n02_fun_fwd-R1	42.85714285714286	60.0	224.0	20.0	7.0
P01-01-D-n03_fun_fwd-R1	89.0929326655537	59.0	223.0	36.36363636363637	1797.0
P01-01-D-n04_fun_fwd-R1	96.80099709181553	60.0	222.0	36.36363636363637	7221.0
P01-01-D-n04_gi_fwd-R1	0.0	47.0	225.0	20.0	2.0
P01-01-D-n05_fun_fwd-R1	93.67774566473989	60.0	221.0	27.27272727272727	2768.0
P01-01-D-n05_gi_fwd-R1	65.38461538461539	46.0	224.0	27.27272727272727	26.0
P01-01-D-n06_fun_fwd-R1	77.8894472361809	58.0	220.0	36.36363636363637	199.0
P01-01-D-n06_gi_fwd-R1	89.51965065502183	47.0	223.0	36.36363636363637	687.0
P01-01-D-n07_gi_fwd-R1	85.91269841269842	46.0	222.0	36.36363636363637	504.0
P01-01-D-n08_gi_fwd-R1	85.24590163934427	45.0	221.0	36.36363636363637	732.0
P01-01-D-n09_gi_fwd-R1	60.24096385542169	46.0	220.0	36.36363636363637	83.0
P01-01-D-n10_gi_fwd-R1	0.0	46.0	219.0	20.0	1.0
P01-01-E-n01_fun_fwd-R1	0.0	60.0	225.0	20.0	1.0
P01-01-E-n02_fun_fwd-R1	60.0	60.0	224.0	36.36363636363637	10.0
P01-01-E-n03_fun_fwd-R1	91.66082690960056	59.0	223.0	36.36363636363637	2854.0
P01-01-E-n04_fun_fwd-R1	96.21295279912184	60.0	222.0	36.36363636363637	5466.0
P01-01-E-n04_gi_fwd-R1	50.0	47.0	225.0	30.0	2.0
P01-01-E-n05_fun_fwd-R1	95.0694755714926	60.0	221.0	27.27272727272727	4462.0
P01-01-E-n05_gi_fwd-R1	71.42857142857143	46.0	224.0	27.27272727272727	14.0
P01-01-E-n06_fun_fwd-R1	80.89005235602095	59.0	220.0	36.36363636363637	382.0
P01-01-E-n06_gi_fwd-R1	85.43046357615894	47.0	223.0	36.36363636363637	302.0
P01-01-E-n07_gi_fwd-R1	89.51367781155015	46.0	222.0	36.36363636363637	658.0
P01-01-E-n08_gi_fwd-R1	83.36283185840708	46.0	221.0	36.36363636363637	565.0
P01-01-E-n09_gi_fwd-R1	82.1608040201005	46.0	220.0	36.36363636363637	796.0
P01-01-E-n10_gi_fwd-R1	33.33333333333334	47.0	219.0	30.0	3.0
P01-01-F-n01_fun_fwd-R1	0.0	53.0	225.0	30.0	2.0
P01-01-F-n02_fun_fwd-R1	40.0	60.0	224.0	30.0	5.0
P01-01-F-n03_fun_fwd-R1	88.6426592797784	59.0	223.0	36.36363636363637	1083.0
P01-01-F-n04_fun_fwd-R1	97.56733942137978	60.0	222.0	36.36363636363637	13031.0
P01-01-F-n04_gi_fwd-R1	50.0	46.0	225.0	30.0	2.0
P01-01-F-n05_fun_fwd-R1	92.06602768903089	60.0	221.0	36.36363636363637	1878.0
P01-01-F-n05_gi_fwd-R1	80.0	46.0	224.0	27.27272727272727	25.0
P01-01-F-n06_fun_fwd-R1	92.14005001786353	60.0	220.0	36.36363636363637	2799.0
P01-01-F-n06_gi_fwd-R1	87.57396449704142	47.0	223.0	36.36363636363637	507.0
P01-01-F-n07_fun_fwd-R1	33.33333333333334	61.0	219.0	30.0	3.0
P01-01-F-n07_gi_fwd-R1	91.83238636363636	46.0	222.0	36.36363636363637	1408.0
P01-01-F-n08_gi_fwd-R1	87.21804511278195	46.0	221.0	36.36363636363637	1330.0
P01-01-F-n09_gi_fwd-R1	80.66666666666667	46.0	220.0	36.36363636363637	750.0
P01-01-F-n10_gi_fwd-R1	0.0	47.0	219.0	20.0	2.0
P01-01-G-n02_fun_fwd-R1	33.33333333333334	60.0	224.0	30.0	3.0
P01-01-G-n03_fun_fwd-R1	87.9458794587946	59.0	223.0	36.36363636363637	813.0
P01-01-G-n04_fun_fwd-R1	88.34080717488789	60.0	222.0	36.36363636363637	446.0
P01-01-G-n04_gi_fwd-R1	0.0	47.0	225.0	30.0	1.0
P01-01-G-n05_fun_fwd-R1	83.64197530864197	59.0	221.0	36.36363636363637	648.0
P01-01-G-n05_gi_fwd-R1	42.85714285714286	45.0	224.0	27.27272727272727	14.0
P01-01-G-n06_fun_fwd-R1	81.16883116883116	58.0	220.0	36.36363636363637	308.0
P01-01-G-n06_gi_fwd-R1	84.22619047619048	46.0	223.0	36.36363636363637	336.0
P01-01-G-n07_gi_fwd-R1	69.81132075471697	43.0	222.0	36.36363636363637	53.0
P01-01-G-n08_gi_fwd-R1	82.92682926829268	44.0	221.0	36.36363636363637	328.0
P01-01-G-n09_gi_fwd-R1	57.37704918032787	43.0	220.0	45.45454545454545	122.0
P01-01-H-n02_fun_fwd-R1	50.0	60.0	224.0	30.0	6.0
P01-01-H-n03_fun_fwd-R1	84.72906403940887	59.0	223.0	36.36363636363637	812.0
P01-01-H-n04_fun_fwd-R1	87.2865275142315	60.0	222.0	36.36363636363637	527.0
P01-01-H-n04_gi_fwd-R1	0.0	47.0	225.0	20.0	1.0
P01-01-H-n05_fun_fwd-R1	85.3615520282187	59.0	221.0	36.36363636363637	567.0
P01-01-H-n05_gi_fwd-R1	33.33333333333334	44.0	224.0	30.0	9.0
P01-01-H-n06_fun_fwd-R1	74.41860465116278	54.0	220.0	45.45454545454545	215.0
P01-01-H-n06_gi_fwd-R1	86.13861386138613	46.0	223.0	36.36363636363637	404.0
P01-01-H-n07_fun_fwd-R1	0.0	61.0	219.0	20.0	1.0
P01-01-H-n07_gi_fwd-R1	80.3921568627451	45.0	222.0	36.36363636363637	204.0
P01-01-H-n08_gi_fwd-R1	75.88424437299035	42.0	221.0	45.45454545454545	311.0
P01-01-H-n09_gi_fwd-R1	72.72727272727273	43.0	220.0	45.45454545454545	231.0
P01-01-H-n10_gi_fwd-R1	0.0	37.0	219.0	30.0	1.0
P01-02-A-n03_fun_fwd-R1	0.0	40.0	223.0	36.36363636363637	10.0
P01-02-A-n04_fun_fwd-R1	0.0	60.0	222.0	30.0	1.0
P01-02-A-n05_fun_fwd-R1	0.0	60.0	221.0	20.0	1.0
P01-02-A-n05_gi_fwd-R1	0.0	31.0	224.0	20.0	1.0
P01-02-A-n06_gi_fwd-R1	74.32432432432432	37.0	223.0	36.36363636363637	74.0
P01-02-A-n08_gi_fwd-R1	0.0	51.0	221.0	30.0	2.0
P01-02-B-n04_fun_fwd-R1	0.0	54.0	222.0	40.0	3.0
P01-02-B-n05_fun_fwd-R1	33.33333333333334	60.0	221.0	30.0	3.0
P01-02-B-n05_gi_fwd-R1	0.0	48.0	224.0	20.0	1.0
P01-02-B-n06_gi_fwd-R1	20.0	36.0	223.0	40.0	5.0
P01-02-B-n07_gi_fwd-R1	68.18181818181819	39.0	222.0	36.36363636363637	22.0
P01-02-C-n03_fun_fwd-R1	0.0	60.0	223.0	20.0	1.0
P01-02-C-n04_fun_fwd-R1	0.0	60.0	222.0	20.0	1.0
P01-02-C-n05_fun_fwd-R1	27.272727272727266	38.0	221.0	36.36363636363637	11.0
P01-02-C-n07_gi_fwd-R1	0.0	36.0	222.0	20.0	1.0
P01-02-C-n08_gi_fwd-R1	73.54838709677419	36.0	221.0	54.54545454545454	155.0
P01-02-D-n03_fun_fwd-R1	0.0	59.0	223.0	20.0	1.0
P01-02-D-n04_fun_fwd-R1	0.0	60.0	222.0	20.0	1.0
P01-02-D-n05_fun_fwd-R1	0.0	41.0	221.0	20.0	1.0
P01-02-D-n06_fun_fwd-R1	18.181818181818173	39.0	220.0	36.36363636363637	11.0
P01-02-D-n07_gi_fwd-R1	0.0	46.0	222.0	20.0	1.0
P01-02-D-n08_gi_fwd-R1	0.0	47.0	221.0	20.0	1.0
P01-02-D-n09_gi_fwd-R1	32.25806451612904	36.0	220.0	36.36363636363637	31.0
