Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	per_tile_sequence_quality
P01-01-A-n01_fun_fwd-R1	P01-01-A-n01_fun_fwd-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1.0	0.0	225.0	60.0	100.0	225.0	pass	pass	pass	fail	pass	pass	pass	pass	fail	pass	
P01-01-A-n02_fun_fwd-R1	P01-01-A-n02_fun_fwd-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3.0	0.0	224.0	59.0	100.0	224.0	pass	pass	pass	fail	fail	pass	pass	pass	fail	pass	
P01-01-A-n03_fun_fwd-R1	P01-01-A-n03_fun_fwd-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	412.0	0.0	223.0	59.0	16.74757281553398	223.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass	pass
P01-01-A-n04_fun_fwd-R1	P01-01-A-n04_fun_fwd-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3824.0	0.0	222.0	60.0	4.0533472803347275	222.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass	pass
P01-01-A-n04_gi_fwd-R1	P01-01-A-n04_gi_fwd-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3.0	0.0	225.0	46.0	66.66666666666666	225.0	pass	pass	pass	fail	fail	pass	pass	warn	fail	pass	
P01-01-A-n05_fun_fwd-R1	P01-01-A-n05_fun_fwd-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2456.0	0.0	221.0	60.0	6.392508143322476	221.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass	pass
P01-01-A-n05_gi_fwd-R1	P01-01-A-n05_gi_fwd-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	38.0	0.0	224.0	45.0	26.31578947368421	224.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass	warn
P01-01-A-n06_fun_fwd-R1	P01-01-A-n06_fun_fwd-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2369.0	0.0	220.0	60.0	9.159983115238497	220.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass	pass
P01-01-A-n06_gi_fwd-R1	P01-01-A-n06_gi_fwd-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	978.0	0.0	223.0	47.0	9.918200408997956	223.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass	pass
P01-01-A-n07_fun_fwd-R1	P01-01-A-n07_fun_fwd-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1.0	0.0	219.0	60.0	100.0	219.0	pass	pass	pass	fail	pass	pass	pass	pass	fail	pass	
P01-01-A-n07_gi_fwd-R1	P01-01-A-n07_gi_fwd-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	963.0	0.0	222.0	46.0	9.345794392523365	222.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass	pass
P01-01-A-n08_fun_fwd-R1	P01-01-A-n08_fun_fwd-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1.0	0.0	218.0	61.0	100.0	218.0	pass	pass	pass	fail	pass	pass	pass	pass	fail	pass	
P01-01-A-n08_gi_fwd-R1	P01-01-A-n08_gi_fwd-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1155.0	0.0	221.0	46.0	12.467532467532468	221.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass	pass
P01-01-A-n09_gi_fwd-R1	P01-01-A-n09_gi_fwd-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	464.0	0.0	220.0	46.0	21.982758620689655	220.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass	pass
P01-01-A-n10_gi_fwd-R1	P01-01-A-n10_gi_fwd-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3.0	0.0	219.0	47.0	100.0	219.0	pass	pass	pass	fail	fail	pass	pass	pass	fail	pass	
P01-01-B-n02_fun_fwd-R1	P01-01-B-n02_fun_fwd-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3.0	0.0	224.0	60.0	66.66666666666666	224.0	pass	pass	pass	fail	fail	pass	pass	warn	fail	pass	
P01-01-B-n03_fun_fwd-R1	P01-01-B-n03_fun_fwd-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	123.0	0.0	223.0	59.0	26.82926829268293	223.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass	pass
P01-01-B-n04_fun_fwd-R1	P01-01-B-n04_fun_fwd-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2212.0	0.0	222.0	60.0	5.69620253164557	222.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass	pass
P01-01-B-n05_fun_fwd-R1	P01-01-B-n05_fun_fwd-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	585.0	0.0	221.0	59.0	14.188034188034187	221.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass	pass
P01-01-B-n05_gi_fwd-R1	P01-01-B-n05_gi_fwd-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30.0	0.0	224.0	46.0	23.333333333333332	224.0	pass	pass	pass	fail	pass	pass	pass	fail	fail	pass	pass
P01-01-B-n06_fun_fwd-R1	P01-01-B-n06_fun_fwd-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4215.0	0.0	220.0	60.0	6.192170818505338	220.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass	pass
P01-01-B-n06_gi_fwd-R1	P01-01-B-n06_gi_fwd-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	681.0	0.0	223.0	47.0	11.600587371512482	223.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass	pass
